sampleID,d15N,d13C,sampling_id,location,year,habitat_type,sample_category,length_mm,notes
SI_570,14.1453636363636,-13.9528041061059,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,91,NA
SI_571,14.3553636363636,-11.8930640769591,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,91,NA
SI_572,13.8723636363636,-13.3777824842781,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,90,NA
SI_573,14.4751818181818,-11.915743293291,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,87,NA
SI_574,13.7051818181818,-13.0230420832743,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,107,NA
SI_575,13.8101818181818,-14.0142374487263,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,84,NA
SI_576,14.3961818181818,-11.9764305490482,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,87,NA
SI_718,13.8118181818182,-16.1473640698636,DH_2022_general,Drayton Harbor,2022,general,shiner perch,104,NA
SI_719,13.2818181818182,-14.7840305290405,DH_2022_general,Drayton Harbor,2022,general,shiner perch,64,NA
SI_720,13.4118181818182,-14.8169190368467,DH_2022_general,Drayton Harbor,2022,general,shiner perch,65,NA
SI_721,13.7808181818182,-14.4266333905384,DH_2022_general,Drayton Harbor,2022,general,shiner perch,74,NA
SI_722,13.6428181818182,-15.2451964540334,DH_2022_general,Drayton Harbor,2022,general,shiner perch,75,NA
SI_723,13.2528181818182,-14.7970037815111,DH_2022_general,Drayton Harbor,2022,general,shiner perch,80,NA
SI_724,13.1438181818182,-14.8482870847386,DH_2022_general,Drayton Harbor,2022,general,shiner perch,73,NA
SI_725,13.3848181818182,-14.8522988422233,DH_2022_general,Drayton Harbor,2022,general,shiner perch,67,NA
SI_726,13.5688181818182,-14.7622085468582,DH_2022_general,Drayton Harbor,2022,general,shiner perch,70,NA
SI_727,14.2628181818182,-14.1259456816327,DH_2022_general,Drayton Harbor,2022,general,shiner perch,70,NA
SI_728,13.4208181818182,-14.1675648858073,DH_2022_general,Drayton Harbor,2022,general,shiner perch,68,NA
SI_729,13.4018181818182,-14.9820004694457,DH_2022_general,Drayton Harbor,2022,general,shiner perch,57,NA
SI_730,13.4648181818182,-14.6639343620008,DH_2022_general,Drayton Harbor,2022,general,shiner perch,69,NA
SI_731,13.6408181818182,-14.5740133849678,DH_2022_general,Drayton Harbor,2022,general,shiner perch,67,NA
