"","sampleID","sample.mass","d15N","d13C","Amt.N","per.N","Amt.C","per.C"
"1","SI_524",9,14.7274545454545,-9.78025772384812,1.19908155029216,0.133231283365796,1.85448515704848,0.20605390633872
"2","SI_525",10,14.1844545454545,-10.2638592230739,1.17561071911057,0.117561071911057,1.84406861129689,0.184406861129689
"3","SI_526",11,14.2234545454545,-10.1637295374501,0.911241466790451,0.0828401333445864,0.857545509993534,0.0779586827266849
"4","SI_527",12,15.3994545454545,-10.4763019235179,0.993002494093356,0.082750207841113,1.01455588254194,0.084546323545162
"5","SI_528",2,11.2444545454545,-26.0106299007358,0.0845179772586586,0.0422589886293293,-1.96144276995194,-0.980721384975968
"6","SI_529",3,11.5884545454545,-29.2095775446306,0.376312852827596,0.125437617609199,-1.09263510437797,-0.364211701459324
"7","SI_530",4,14.3764545454545,-17.9247420376595,0.71659691809037,0.179149229522592,0.678855172303598,0.169713793075899
"8","SI_531",5,14.1704545454545,-17.8310661052745,0.771276217106824,0.154255243421365,0.582142202805061,0.116428440561012
"9","SI_532",9,13.5204545454545,-18.989445837746,0.692868165687003,0.0769853517430003,-0.0530130259506387,-0.00589033621673763
"10","SI_533",10,13.3944545454545,-18.1075842085558,0.816756325879943,0.0816756325879943,0.414545909777391,0.0414545909777391
"11","SI_534",11,13.4284545454545,-18.1663307732517,0.561242368840791,0.051022033530981,-0.411918073879527,-0.0374470976254115
"12","SI_535",12,13.8194545454545,-18.819884203032,0.824150067570848,0.0686791722975706,1.12668195225828,0.0938901626881902
"13","SI_536",2,13.2294545454545,-13.6199103132984,1.01458190298192,0.507290951490962,1.48821230846603,0.744106154233014
"14","SI_537",3,13.2134545454545,-14.62760232032,1.16383231664948,0.387944105549826,2.07221636946594,0.690738789821978
"15","SI_538",4,12.6004545454545,-14.8948108224268,0.741615276602615,0.185403819150654,0.581718765985891,0.145429691496473
"16","SI_539",5,12.6394545454545,-14.8995277149956,0.87831352414375,0.17566270482875,0.973313136354739,0.194662627270948
"17","SI_540",9,11.7344545454545,-16.1672788787889,0.587550333461915,0.0652833703846573,-0.315289791744827,-0.0350321990827585
"18","SI_541",10,12.4674545454545,-15.1170817650523,1.00701621380984,0.100701621380984,1.79842212219031,0.179842212219031
"19","SI_542",11,12.5684545454545,-14.8442021305285,0.642057684997185,0.0583688804542896,0.42877338690152,0.0389793988092291
"20","SI_543",12,13.2394545454545,-14.1172968204849,1.09849227379963,0.0915410228166356,1.98117745334429,0.165098121112024
"21","SI_544",2,12.6564545454545,-14.7017525172382,0.798014050430907,0.399007025215454,0.786154062281394,0.393077031140697
"22","SI_545",3,13.5674545454545,-12.3293731564526,0.819937354281844,0.273312451427281,0.562071297576381,0.187357099192127
"23","SI_546",4,13.2344545454545,-13.8611188041524,1.09445150799181,0.273612876997952,2.32356846532553,0.580892116331381
"24","SI_547",5,13.3794545454545,-12.9706959786735,0.865417463054964,0.173083492610993,1.10042886946971,0.220085773893943
