"","sampleID","sample.mass","d15N","d13C","Amt.N","per.N","Amt.C","per.C"
"1","SS_87",7,14.1445454545455,-12.1058214918226,1.29855991035637,0.185508558622338,1.45593304262485,0.207990434660693
"2","SS_88",8,14.3465454545455,-11.5763875254551,1.30215588309179,0.162769485386474,1.44968621347821,0.181210776684776
"3","SS_89",9,14.1315454545455,-11.9588073067649,1.24731729887656,0.138590810986285,1.2542345761104,0.1393593973456
"4","SS_90",10,14.1545454545455,-11.3408353454148,1.3020274554941,0.13020274554941,1.36900682687243,0.136900682687243
"5","SS_91",12,14.2155454545455,-13.3021258069696,1.33516177569909,0.111263481308257,1.72062919290629,0.143385766075524
"6","SS_92",1,14.1135454545455,-11.2505684965534,1.20146864649989,1.20146864649989,1.3797005513438,1.3797005513438
"7","SS_93",2,14.0385454545455,-12.496775200594,1.37908401411035,0.689542007055173,1.88431729224033,0.942158646120164
"8","SS_94",3,13.9175454545455,-12.8231594358462,1.30960468375803,0.43653489458601,1.66112549832302,0.553708499441007
"9","SS_95",7,13.5625454545455,-12.8913863030201,1.23396082871641,0.176280118388059,1.31892631523918,0.188418045034168
"10","SS_96",8,13.2505454545455,-13.3660698454721,1.02603654805024,0.12825456850628,0.423194542686793,0.0528993178358492
"11","SS_97",9,14.6865454545455,-12.6419331113682,1.26940684567989,0.141045205075543,1.58171665323859,0.175746294804288
"12","SS_98",10,14.3015454545455,-11.5112724937136,1.25335339596817,0.125335339596817,1.40309969102868,0.140309969102868
"13","SS_99",12,14.2325454545455,-14.4927907680826,1.20108336370681,0.100090280308901,1.5607527181363,0.130062726511358
"14","SP_100",1,14.1075454545455,-14.7087077590584,1.30433915225259,1.30433915225259,1.49447280210583,1.49447280210583
"15","SP_101",2,14.4775454545455,-14.7428224319221,1.01460649185549,0.507303245927746,0.753641216698141,0.37682060834907
"16","SP_102",3,13.2685454545455,-15.1359816595175,1.28160746746079,0.427202489153598,1.64122034782186,0.547073449273953
"17","SP_103",7,14.7825454545455,-13.3428612826401,1.24680358848579,0.178114798355112,1.5464591260211,0.220922732288729
"18","SP_104",8,14.2505454545455,-12.5070893660786,1.1090007761604,0.13862509702005,1.77250963836145,0.221563704795181
"19","SS_105",9,14.7335454545455,-13.3372545800024,1.02950409318797,0.114389343687552,0.614411041650105,0.0682678935166783
"20","SS_106",10,14.7075454545455,-11.6667697930835,0.91237812409127,0.091237812409127,0.069878121291132,0.0069878121291132
"21","SS_107",12,14.3585454545455,-12.7626332090517,0.984040723604381,0.0820033936336984,0.42499447650871,0.0354162063757258
"22","SS_108",1,14.7325454545455,-11.2685975488396,1.46500207696746,1.46500207696746,2.35769988740365,2.35769988740365
"23","SS_109",2,14.6515454545455,-12.2049095994505,1.36187471601938,0.680937358009692,1.98670176316919,0.993350881584595
"24","SP_110",3,13.9635454545455,-13.8695755920051,0.74169784675628,0.247232615585427,-0.380105334187311,-0.126701778062437
