"","sampleID","sample.mass","d15N","d13C","Amt.N","per.N","Amt.C","per.C"
"1","SI_137b",5,8.42845454545455,-18.4008007340086,-45.786921077299,-9.15738421545979,-256.439819374968,-51.2879638749935
"2","SI_138",6,9.51645454545455,-10.019534101616,6.94470989130956,1.15745164855159,7.1850385690823,1.19750642818038
"3","SI_139",7,9.74845454545454,-13.7055318695668,25.8696038539313,3.69565769341875,110.443984929109,15.7777121327298
"4","SI_140",8,10.2604545454545,-9.83743111757287,5.25111155962918,0.656388944953648,-5.83522145294103,-0.729402681617628
"5","SI_141a",10,13.0744545454545,-14.4385560758016,-6.62423864703442,-0.662423864703442,8.91758099192045,0.891758099192045
"6","SI_141b",11,10.4284545454545,-12.8114505261617,22.0471476753557,2.00428615230507,99.0476196527914,9.00432905934467
"7","SI_142a",12,12.8574545454545,-15.2793074077027,-8.17433179794917,-0.681194316495764,6.73104648963757,0.560920540803131
"8","SI_142b",1,8.51145454545454,-4.87471844136874,26.7543548031144,26.7543548031144,102.072293378664,102.072293378664
"9","SI_143a",5,13.4484545454545,-14.0165309103711,-4.71834752727926,-0.943669505455852,11.7647321739081,2.35294643478162
"10","SI_143b",6,10.2744545454545,-16.6791714467659,11.793050213375,1.96550836889583,50.8342428568905,8.47237380948175
"11","SI_144a",7,11.8884545454545,-15.1918778746529,0.298403833370598,0.0426291190529425,32.6629188565522,4.66613126522174
"12","SI_145a",8,12.3474545454545,-13.6413788131871,-2.43531056055326,-0.304413820069158,22.2763949364357,2.78454936705446
"13","SI_146a",10,12.3384545454545,-16.0781032965992,-5.59716851031509,-0.559716851031509,14.6177037671707,1.46177037671707
"14","SI_147a",11,14.2884545454545,-11.2030048690709,-6.16170128754188,-0.560154662503807,11.3233509855591,1.02939554414173
"15","SI_147b",12,11.3204545454545,-14.4459543217,12.591223656807,1.04926863806725,32.1167702652544,2.67639752210453
"16","SI_148a",1,14.2214545454545,-11.2364817829857,-1.33233685714797,-1.33233685714797,29.1027672933853,29.1027672933853
"17","SI_148b",5,11.8624545454545,-14.4713153588648,12.4002787468626,2.48005574937252,43.8177370649597,8.76354741299194
"18","SI_149a",6,14.2154545454545,-9.13195203006853,-5.81776325099615,-0.969627208499358,13.5351072700333,2.25585121167222
"19","SI_150a",7,13.9504545454545,-12.0208625879557,-6.79857965176623,-0.971225664538032,7.51098160047848,1.07299737149693
"20","SI_151a",8,14.0394545454545,-11.8229571348179,-4.32222578863693,-0.540278223579617,20.9571017141177,2.61963771426471
"21","SI_151b",10,12.8024545454545,-13.2723110957156,14.2373822593086,1.42373822593086,77.9787009060826,7.79787009060826
"22","SI_152",11,14.3214545454545,-9.40489592559291,-0.773734046068521,-0.0703394587335019,29.5121362197222,2.6829214745202
"23","SI_153",12,14.5464545454545,-12.5341107471247,-1.74269051454392,-0.145224209545327,24.825735074856,2.068811256238
"24","SI_154",1,14.2444545454545,-12.641179939986,-8.13756600783566,-8.13756600783566,-4.48682617424841,-4.48682617424841
