"","sampleID","sample.mass","d15N","d13C","Amt.N","per.N","Amt.C","per.C"
"1","SI_452",9,13.0851818181818,-11.6755638639737,1.0626172201015,0.118068580011278,1.41347763910351,0.157053071011501
"2","SI_453",10,13.1721818181818,-12.1864431390109,1.13222084038866,0.113222084038866,1.6655323182841,0.16655323182841
"3","SI_454",11,13.4621818181818,-11.9386300818731,0.871071531822955,0.0791883210748141,0.459315093436441,0.041755917585131
"4","SI_455",12,13.6581818181818,-12.0309668269463,1.02569798313171,0.0854748319276427,1.25513217750892,0.104594348125744
"5","SI_456",2,15.6871818181818,-12.0582050226502,0.629359115661935,0.314679557830968,-0.381044986851026,-0.190522493425513
"6","SI_457",3,14.4071818181818,-12.3162143787619,0.623061128178854,0.207687042726285,-0.290803188132048,-0.0969343960440159
"7","SI_458",4,13.3991818181818,-11.5787281500052,0.633159625350002,0.1582899063375,-0.202873001991094,-0.0507182504977735
"8","SI_459",5,13.7761818181818,-12.9161763268773,0.985303994447121,0.197060798889424,1.14684201904615,0.22936840380923
"9","SI_460",9,13.3891818181818,-13.4427173117904,1.02124595749712,0.113471773055236,1.19787531211481,0.133097256901646
"10","SI_461",10,13.7081818181818,-12.2929561764185,1.01147321829924,0.101147321829924,1.18044930960356,0.118044930960356
"11","SI_462",11,14.5011818181818,-13.2372952155663,0.841970486211476,0.0765427714737705,0.688520371365037,0.0625927610331852
"12","SI_463",12,14.0861818181818,-12.5013552598613,0.721331450113141,0.0601109541760951,0.198369596648066,0.0165307997206722
"13","SI_464",2,14.0961818181818,-13.8535957778732,0.708844061138066,0.354422030569033,-0.0953830171130205,-0.0476915085565102
"14","SI_465",3,13.7871818181818,-12.1418678710392,0.91222562244516,0.30407520748172,0.904567239234116,0.301522413078039
"15","SI_466",4,13.9161818181818,-12.5668365286661,1.07586471101419,0.268966177753547,1.42210173218305,0.355525433045763
"16","SI_467",5,13.7131818181818,-11.6420180883169,1.32148622285436,0.264297244570872,2.70851413185289,0.541702826370579
"17","SI_468",9,13.9911818181818,-13.3261701882486,1.08835209998926,0.120928011109918,1.55661980258878,0.172957755843198
"18","SI_469",10,13.6681818181818,-12.6247423869813,0.749672393787007,0.0749672393787007,0.273052464553427,0.0273052464553427
"19","SI_470",11,13.8871818181818,-11.0938300955478,0.739030966660421,0.0671846333327656,0.287722313606265,0.026156573964206
"20","SI_471",12,13.9621818181818,-12.3380677638296,0.874220525564496,0.072851710463708,0.70016734243123,0.0583472785359358
"21","SI_472",2,14.0011818181818,-11.5491229509334,0.790392140444861,0.395196070222431,0.511859825498426,0.255929912749213
"22","SI_473",3,13.6781818181818,-12.2079791463497,1.0109302883438,0.336976762781266,1.0897629700042,0.363254323334732
"23","SI_474",4,14.2251818181818,-12.2534069053202,0.673445028043505,0.168361257010876,0.0192196218512776,0.00480490546281941
"24","SI_475",5,14.0981818181818,-12.7883769286309,0.682131907330514,0.136426381466103,-0.211141462366329,-0.0422282924732659
