Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,36830,Dummy,E,6,0.468,N2,1,1,47.7,27.2,10.6,3822,70445,70.445,6.7,2519,46430,0.511,0.6590975,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,36830,Dummy,E,6,0.468,N2,2,0,216.5,84,11.2,406,11161,11.161,7.1,271,7441,0.082,0.666675,0.007441,11.497,11.497,0.0037205,11.497,,,,,,,,,,,,,,,,,,,,,,,,
1,36830,Dummy,E,6,0.468,CO2,3,0,379.3,105.1,,,,,,,,,,,,,,,-0.3,2411,70514,70.514,-0.5,2560,74767,0.822,0.5,3446,0.303,100837,1.0603098,0.0119782,-0.556,-0.556,1.4300272,0.0039982,-5.311,-5.311,0.0111757,-0.398,0.0019945,-5.316
1,36830,Dummy,E,6,0.468,CO2,4,1,525.6,40.3,,,,,,,,,,,,,,,0.6,5281,97310,97.31,0.4,5599,103236,1.136,1.8,7589,0.42,139898,1.0608996,0.0119849,0,0,1.4376628,0.0040196,0,0,0.0111802,0,0.0020052,0
2,36831,Blank,E,7,0,N2,1,1,47.9,27.2,11.3,3814,70350,70.35,7.4,2511,46332,0.51,0.6585995,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,36831,Blank,E,7,0,CO2,2,1,525.6,40.1,,,,,,,,,,,,,,,-0.2,5270,97612,97.612,-0.4,5583,103468,1.138,0.6,7574,0.421,140381,1.0599961,0.0119849,0,0,1.4381619,0.0040196,0,0,0.0111802,0,0.0020052,0
3,36832,GA1_QTY_0.14,E,8,0.135,N2,1,1,47.7,27,11.4,3818,70403,70.403,7.4,2514,46363,0.51,0.6585442,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,36832,GA1_QTY_0.14,E,8,0.135,N2,2,0,217.2,77.5,11.9,220,5947,5.947,7.7,145,3902,0.043,0.6561612,0.0073298,-3.619,-3.619,0.0036649,-3.619,,,,,,,,,,,,,,,,,,,,,,,,
3,36832,GA1_QTY_0.14,E,8,0.135,CO2,3,0,381.2,98,,,,,,,,,,,,,,,-0.2,1297,37234,37.234,-0.4,1354,38841,0.427,0.7,1853,0.16,53250,1.0431807,0.0117973,-15.651,-15.651,1.4301599,0.0039972,-5.559,-5.559,0.0109949,-16.572,0.0019941,-5.528
3,36832,GA1_QTY_0.14,E,8,0.135,CO2,4,1,525.6,40.1,,,,,,,,,,,,,,,0.3,5278,97912,97.912,0.1,5591,103764,1.141,1.3,7588,0.422,140813,1.0597669,0.0119849,0,0,1.4381543,0.0040196,0,0,0.0111802,0,0.0020052,0
4,36833,GA1_QTY_0.56,E,9,0.599,N2,1,1,47.9,27.4,11.6,3808,70529,70.529,7.6,2507,46448,0.511,0.6585672,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,36833,GA1_QTY_0.56,E,9,0.599,N2,2,0,217.2,89.9,12.1,996,26455,26.455,7.9,654,17351,0.191,0.6558748,0.0073263,-4.088,-4.088,0.0036632,-4.088,,,,,,,,,,,,,,,,,,,,,,,,
4,36833,GA1_QTY_0.56,E,9,0.599,CO2,3,0,376.2,112.7,,,,,,,,,,,,,,,-0.2,5755,165753,165.753,-0.4,6019,172836,1.901,0.7,8208,0.71,236622,1.0427345,0.0117938,-15.94,-15.94,1.427558,0.0039905,-7.241,-7.241,0.0109922,-16.819,0.0019907,-7.211
4,36833,GA1_QTY_0.56,E,9,0.599,CO2,4,1,525.6,41.4,,,,,,,,,,,,,,,1.6,5283,97901,97.901,1.4,5595,103739,1.141,3.3,7594,0.422,140779,1.0596254,0.0119849,0,0,1.4379698,0.0040196,0,0,0.0111802,0,0.0020052,0
5,36834,GA1_QTY_0.70,E,10,0.703,N2,1,1,47.9,27.2,11.9,3813,70273,70.273,7.8,2510,46281,0.509,0.6585858,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,36834,GA1_QTY_0.70,E,10,0.703,N2,2,0,217.2,91.3,12.3,1179,31194,31.194,8.0,774,20463,0.225,0.6559772,0.0073273,-3.961,-3.961,0.0036636,-3.961,,,,,,,,,,,,,,,,,,,,,,,,
5,36834,GA1_QTY_0.70,E,10,0.703,CO2,3,0,375.4,114.5,,,,,,,,,,,,,,,-0.0,6774,195107,195.107,-0.3,7090,203442,2.238,1.0,9648,0.834,278156,1.0427219,0.0117931,-15.998,-15.998,1.4256608,0.0039855,-8.469,-8.469,0.010992,-16.835,0.0019883,-8.441
5,36834,GA1_QTY_0.70,E,10,0.703,CO2,4,1,525.8,41.4,,,,,,,,,,,,,,,1.9,5279,97975,97.975,1.8,5593,103822,1.142,3.8,7590,0.423,140872,1.0596745,0.0119849,0,0,1.4378378,0.0040196,0,0,0.0111802,0,0.0020052,0
6,36835,GA1_Std_01,E,11,0.571,N2,1,1,47.9,27.2,12.0,3808,70213,70.213,7.9,2507,46243,0.509,0.6586088,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
6,36835,GA1_Std_01,E,11,0.571,N2,2,0,217.4,89.9,12.4,946,25088,25.088,8.1,621,16457,0.181,0.6559518,0.0073267,-4.034,-4.034,0.0036634,-4.034,,,,,,,,,,,,,,,,,,,,,,,,
6,36835,GA1_Std_01,E,11,0.571,CO2,3,0,376.6,112.2,,,,,,,,,,,,,,,0.0,5458,156872,156.872,-0.2,5708,163589,1.799,1.1,7777,0.671,223765,1.0428155,0.0117937,-15.951,-15.951,1.4264135,0.0039876,-7.956,-7.956,0.0109923,-16.804,0.0019893,-7.927
6,36835,GA1_Std_01,E,11,0.571,CO2,4,1,525.6,41.6,,,,,,,,,,,,,,,1.6,5284,98013,98.013,1.4,5597,103866,1.143,3.3,7595,0.423,140929,1.0597189,0.0119849,0,0,1.4378534,0.0040196,0,0,0.0111802,0,0.0020052,0
7,36836,GA2_Std_01,E,12,0.591,N2,1,1,48.1,27.4,12.0,3817,71069,71.069,8.0,2513,46807,0.515,0.6586185,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
7,36836,GA2_Std_01,E,12,0.591,N2,2,0,217.4,90.5,12.4,986,26108,26.108,8.2,646,17107,0.188,0.6552487,0.0073188,-5.117,-5.117,0.0036594,-5.117,,,,,,,,,,,,,,,,,,,,,,,,
7,36836,GA2_Std_01,E,12,0.591,CO2,3,0,376.4,112.2,,,,,,,,,,,,,,,0.0,5690,163386,163.386,-0.2,6034,172747,1.9,1.1,8105,0.699,233006,1.0572943,0.0119571,-2.311,-2.311,1.4261081,0.0039869,-8.123,-8.123,0.0111559,-2.175,0.0019889,-8.127
7,36836,GA2_Std_01,E,12,0.591,CO2,4,1,525.8,41.2,,,,,,,,,,,,,,,1.7,5281,98535,98.535,1.5,5594,104422,1.149,3.4,7590,0.425,141672,1.0597439,0.0119849,0,0,1.4377875,0.0040196,0,0,0.0111802,0,0.0020052,0
8,36837,SAL_Std_01,F,1,0.44,N2,1,1,47.9,27.2,12.0,3812,70222,70.222,8.0,2510,46252,0.509,0.6586614,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
8,36837,SAL_Std_01,F,1,0.44,N2,2,0,216.9,89.5,12.4,960,25548,25.548,8.2,641,17028,0.187,0.6665003,0.007444,11.901,11.901,0.003722,11.901,,,,,,,,,,,,,,,,,,,,,,,,
8,36837,SAL_Std_01,F,1,0.44,CO2,3,0,376.8,110.8,,,,,,,,,,,,,,,0.1,4886,140318,140.318,-0.2,5143,147317,1.62,1.1,6963,0.601,200169,1.0498766,0.0118724,-9.38,-9.38,1.4265331,0.0039882,-7.801,-7.801,0.011071,-9.765,0.0019896,-7.788
8,36837,SAL_Std_01,F,1,0.44,CO2,4,1,525.6,40.5,,,,,,,,,,,,,,,1.5,5282,97884,97.884,1.3,5596,103739,1.141,3.2,7591,0.422,140732,1.0598177,0.0119849,0,0,1.4377492,0.0040196,0,0,0.0111802,0,0.0020052,0
9,36838,SI_90,F,2,0.463,N2,1,1,47.9,27,12.0,3817,70285,70.285,8.0,2514,46296,0.509,0.6586888,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
9,36838,SI_90,F,2,0.463,N2,2,0,217.2,84.9,12.4,566,15062,15.062,8.2,377,10043,0.11,0.666796,0.0074469,12.308,12.308,0.0037235,12.308,,,,,,,,,,,,,,,,,,,,,,,,
9,36838,SI_90,F,2,0.463,CO2,3,0,378.1,108.5,,,,,,,,,,,,,,,0.0,3780,108322,108.322,-0.2,4027,115176,1.267,1.1,5391,0.464,154657,1.063276,0.0120235,3.226,3.226,1.4277522,0.0039917,-6.943,-6.943,0.0112218,3.717,0.0019912,-6.959
9,36838,SI_90,F,2,0.463,CO2,4,1,525.6,40.5,,,,,,,,,,,,,,,1.2,5281,97870,97.87,1.0,5594,103728,1.141,2.7,7589,0.422,140711,1.0598571,0.0119849,0,0,1.4377344,0.0040196,0,0,0.0111802,0,0.0020052,0
10,36839,SI_91,F,3,0.444,N2,1,1,47.7,27.4,12.0,3804,70179,70.179,8.0,2506,46231,0.509,0.6587608,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
10,36839,SI_91,F,3,0.444,N2,2,0,217.2,82.3,12.3,387,10399,10.399,8.2,258,6928,0.076,0.666209,0.0074396,11.306,11.306,0.0037198,11.306,,,,,,,,,,,,,,,,,,,,,,,,
10,36839,SI_91,F,3,0.444,CO2,3,0,379.1,106.4,,,,,,,,,,,,,,,0.0,3011,86710,86.71,-0.2,3208,92245,1.015,1.1,4298,0.372,123882,1.0638319,0.0120289,3.675,3.675,1.4286894,0.0039943,-6.296,-6.296,0.0112269,4.175,0.0019925,-6.312
10,36839,SI_91,F,3,0.444,CO2,4,1,525.6,41,,,,,,,,,,,,,,,0.9,5281,98002,98.002,0.8,5595,103876,1.143,2.5,7588,0.423,140902,1.0599361,0.0119849,0,0,1.4377416,0.0040196,0,0,0.0111802,0,0.0020052,0
11,36840,SI_92a,F,4,0.429,N2,1,1,47.9,27.2,12.0,3809,70376,70.376,7.9,2509,46359,0.51,0.6587344,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
11,36840,SI_92a,F,4,0.429,N2,2,0,216.7,89.5,12.4,843,22699,22.699,8.2,562,15127,0.166,0.6664237,0.0074423,11.673,11.673,0.0037211,11.673,,,,,,,,,,,,,,,,,,,,,,,,
11,36840,SI_92a,F,4,0.429,CO2,3,0,377.7,108.5,,,,,,,,,,,,,,,-0.0,3883,112177,112.177,-0.2,4105,118371,1.302,1.1,5538,0.48,160136,1.0552113,0.011931,-4.492,-4.492,1.4275285,0.0039911,-7.081,-7.081,0.0111293,-4.552,0.001991,-7.079
11,36840,SI_92a,F,4,0.429,CO2,4,1,525.6,40.3,,,,,,,,,,,,,,,1.2,5279,97934,97.934,1.0,5594,103808,1.142,2.8,7588,0.422,140801,1.0599723,0.0119849,0,0,1.4377096,0.0040196,0,0,0.0111802,0,0.0020052,0
12,36841,SI_92b,F,5,1.535,N2,1,1,47.7,27,12.0,3798,69966,69.966,8.0,2502,46090,0.507,0.6587477,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
12,36841,SI_92b,F,5,1.535,N2,2,0,217.2,97,12.4,2553,65906,65.906,8.2,1698,43792,0.482,0.6644564,0.0074202,8.666,8.666,0.0037101,8.666,,,,,,,,,,,,,,,,,,,,,,,,
12,36841,SI_92b,F,5,1.535,CO2,3,0,368.3,123.3,,,,,,,,,,,,,,,0.0,13878,404576,404.576,-0.2,14753,426324,4.69,1.1,19689,1.724,574757,1.0537558,0.0119146,-5.865,-5.865,1.4206408,0.0039726,-11.684,-11.684,0.0111148,-5.852,0.0019818,-11.684
12,36841,SI_92b,F,5,1.535,CO2,4,1,525.6,42.4,,,,,,,,,,,,,,,3.8,5277,97938,97.938,3.8,5591,103812,1.142,6.6,7582,0.422,140780,1.0599721,0.0119849,0,0,1.4374362,0.0040196,0,0,0.0111802,0,0.0020052,0
13,36842,Blank,F,6,0,N2,1,1,47.7,27.2,12.3,3805,70104,70.104,8.3,2508,46221,0.508,0.659317,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
13,36842,Blank,F,6,0,CO2,2,1,525.4,40.3,,,,,,,,,,,,,,,0.1,5269,97732,97.732,-0.2,5584,103613,1.14,1.0,7573,0.422,140518,1.0601716,0.0119849,0,0,1.4377851,0.0040196,0,0,0.0111802,0,0.0020052,0
14,36843,SI_93a,F,7,0.459,N2,1,1,47.9,27.4,11.8,3799,70441,70.441,7.9,2504,46443,0.511,0.6593191,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
14,36843,SI_93a,F,7,0.459,N2,2,0,217.2,88.2,12.3,822,21914,21.914,8.1,549,14635,0.161,0.6678119,0.0074512,12.881,12.881,0.0037256,12.881,,,,,,,,,,,,,,,,,,,,,,,,
