Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
32,41305,11/11/22,SAL_Std_03,C,8,0.571,N2,2,0,216.3,77.1,13.9,1476,31955,31.955,9.2,985,21304,0.234,0.6666888,0.0074439,11.893,11.893,0.0037219,11.893,,,,,,,,,,,,,,,,,,,,,,,,
32,41305,11/11/22,SAL_Std_03,C,8,0.571,CO2,3,0,363.5,106.2,,,,,,,,,,,,,,,1.1,7443,180611,180.611,0.6,7866,189951,2.089,2.8,10670,0.778,259267,1.0517155,0.0118759,-9.089,-9.089,1.4354998,0.0040208,0.299,0.299,0.0110711,-9.755,0.0020058,0.321
32,41305,11/11/22,SAL_Std_03,C,8,0.571,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,4.6,5203,96497,96.497,4.2,5519,102418,1.127,7.8,7464,0.415,138480,1.0613624,0.0119849,0,0,1.4350704,0.0040196,0,0,0.0111802,0,0.0020052,0
33,41306,11/11/22,SI_252,C,9,0.475,N2,1,1,47.4,27,13.4,3264,60117,60.117,9.1,2150,39605,0.436,0.6587992,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
33,41306,11/11/22,SI_252,C,9,0.475,N2,2,0,216.1,75.9,13.9,1250,27164,27.164,9.3,835,18130,0.199,0.667414,0.0074526,13.077,13.077,0.0037263,13.077,,,,,,,,,,,,,,,,,,,,,,,,
33,41306,11/11/22,SI_252,C,9,0.475,CO2,3,0,365.1,95.9,,,,,,,,,,,,,,,1.2,5438,131009,131.009,0.6,5777,138692,1.526,2.8,7797,0.564,188121,1.0586378,0.0119538,-2.595,-2.595,1.4359343,0.0040217,0.536,0.536,0.0111489,-2.801,0.0020063,0.543
33,41306,11/11/22,SI_252,C,9,0.475,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,2.4,5204,96510,96.51,1.9,5520,102435,1.127,4.6,7465,0.416,138508,1.0613916,0.0119849,0,0,1.4351656,0.0040196,0,0,0.0111802,0,0.0020052,0
34,41307,11/11/22,SI_253,C,10,0.452,N2,1,1,47.4,27,13.2,3262,60147,60.147,9.0,2150,39656,0.436,0.6593121,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
34,41307,11/11/22,SI_253,C,10,0.452,N2,2,0,216.3,74.4,13.9,1053,22942,22.942,9.3,704,15323,0.169,0.6679085,0.0074523,13.038,13.038,0.0037262,13.038,,,,,,,,,,,,,,,,,,,,,,,,
34,41307,11/11/22,SI_253,C,10,0.452,CO2,3,0,366,94.1,,,,,,,,,,,,,,,1.1,4686,112719,112.719,0.5,4975,119310,1.312,2.8,6721,0.486,161881,1.0584741,0.0119518,-2.758,-2.758,1.436145,0.0040224,0.716,0.716,0.0111468,-2.984,0.0020066,0.723
