Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,41127,11/10/22,Dummy,A,1,0.514,N2,2,1,47.7,27.2,11.2,3326,61585,61.585,7.1,2191,40581,0.446,0.6589423,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,41127,11/10/22,Dummy,A,1,0.514,N2,3,0,215.7,76.1,11.8,1085,24580,24.58,7.5,724,16390,0.18,0.6667839,0.0074439,11.9,11.9,0.003722,11.9,,,,,,,,,,,,,,,,,,,,,,,,
1,41127,11/10/22,Dummy,A,1,0.514,CO2,4,0,362,99.1,,,,,,,,,,,,,,,0.7,5435,135080,135.08,0.1,5736,142128,1.563,2.0,7629,0.57,189990,1.0521768,0.0118688,-9.684,-9.684,1.4064995,0.0039373,-20.461,-20.461,0.0110727,-9.617,0.0019642,-20.462
1,41127,11/10/22,Dummy,A,1,0.514,CO2,5,1,525.4,41,,,,,,,,,,,,,,,3.6,5298,97411,97.411,3.1,5626,103495,1.138,6.1,7606,0.42,139870,1.0624654,0.0119849,0,0,1.4358796,0.0040196,0,0,0.0111802,0,0.0020052,0
2,41128,11/10/22,Blank,A,2,0,N2,1,1,47.4,27,12.4,3333,61449,61.449,8.2,2194,40452,0.445,0.6582977,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,41128,11/10/22,Blank,A,2,0,CO2,2,1,525.2,40.8,,,,,,,,,,,,,,,1.4,5293,97976,97.976,0.8,5619,104073,1.145,3.0,7598,0.422,140716,1.0622209,0.0119849,0,0,1.4362268,0.0040196,0,0,0.0111802,0,0.0020052,0
3,41129,11/10/22,GA1_QTY_0.14,A,3,0.166,N2,1,1,47.4,26.8,12.5,3328,61359,61.359,8.1,2189,40385,0.444,0.6581708,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,41129,11/10/22,GA1_QTY_0.14,A,3,0.166,N2,2,0,215.3,66.9,13.3,248,5673,5.673,8.6,163,3720,0.041,0.6557132,0.0073289,-3.734,-3.734,0.0036645,-3.734,,,,,,,,,,,,,,,,,,,,,,,,
3,41129,11/10/22,GA1_QTY_0.14,A,3,0.166,CO2,3,0,365.3,86.9,,,,,,,,,,,,,,,1.1,1470,36409,36.409,0.6,1537,38046,0.419,2.7,2072,0.154,51367,1.0449743,0.0117919,-16.104,-16.104,1.4108487,0.0039489,-17.576,-17.576,0.0109945,-16.608,0.00197,-17.558
3,41129,11/10/22,GA1_QTY_0.14,A,3,0.166,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,2.6,5287,98116,98.116,2.1,5613,104207,1.146,4.7,7591,0.423,140904,1.0620777,0.0119849,0,0,1.4360895,0.0040196,0,0,0.0111802,0,0.0020052,0
4,41130,11/10/22,GA1_QTY_0.56,A,4,0.578,N2,1,1,47.4,27,12.8,3324,61233,61.233,8.4,2187,40302,0.443,0.658174,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,41130,11/10/22,GA1_QTY_0.56,A,4,0.578,N2,2,0,215.3,76.1,13.6,1108,25033,25.033,8.8,727,16412,0.181,0.6556158,0.0073278,-3.887,-3.887,0.0036639,-3.887,,,,,,,,,,,,,,,,,,,,,,,,
4,41130,11/10/22,GA1_QTY_0.56,A,4,0.578,CO2,3,0,360.9,101.2,,,,,,,,,,,,,,,1.3,6369,158473,158.473,0.7,6679,165565,1.821,2.9,8982,0.672,223953,1.0447545,0.0117906,-16.207,-16.207,1.4131931,0.0039561,-15.777,-15.777,0.0109925,-16.786,0.0019736,-15.757
4,41130,11/10/22,GA1_QTY_0.56,A,4,0.578,CO2,4,1,525.4,41,,,,,,,,,,,,,,,3.8,5281,97667,97.667,3.4,5608,103719,1.141,6.6,7583,0.421,140234,1.061966,0.0119849,0,0,1.4358464,0.0040196,0,0,0.0111802,0,0.0020052,0
5,41131,11/10/22,GA1_QTY_0.70,A,5,0.673,N2,1,1,47.4,27,13.1,3322,61163,61.163,8.7,2186,40258,0.443,0.6582081,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,41131,11/10/22,GA1_QTY_0.70,A,5,0.673,N2,2,0,215.3,76.3,13.8,1304,29277,29.277,9.0,856,19194,0.211,0.6555972,0.0073272,-3.967,-3.967,0.0036636,-3.967,,,,,,,,,,,,,,,,,,,,,,,,
5,41131,11/10/22,GA1_QTY_0.70,A,5,0.673,CO2,3,0,359.7,102.6,,,,,,,,,,,,,,,1.4,7447,185197,185.197,0.9,7814,193488,2.128,3.2,10539,0.788,262603,1.044767,0.0117917,-16.116,-16.116,1.4179638,0.00397,-12.324,-12.324,0.0109922,-16.818,0.0019805,-12.3
5,41131,11/10/22,GA1_QTY_0.70,A,5,0.673,CO2,4,1,525.4,41.6,,,,,,,,,,,,,,,4.0,5279,98071,98.071,3.6,5604,104140,1.146,6.9,7577,0.422,140797,1.0618807,0.0119849,0,0,1.4356572,0.0040196,0,0,0.0111802,0,0.0020052,0
6,41132,11/10/22,SAL_Std_01,A,6,0.568,N2,1,1,47.4,27,13.1,3318,61051,61.051,8.8,2183,40186,0.442,0.6582319,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
6,41132,11/10/22,SAL_Std_01,A,6,0.568,N2,2,0,215.5,77.3,13.8,1432,32269,32.269,9.1,955,21492,0.236,0.6660229,0.0074435,11.836,11.836,0.0037217,11.836,,,,,,,,,,,,,,,,,,,,,,,,
6,41132,11/10/22,SAL_Std_01,A,6,0.568,CO2,3,0,360.3,103.7,,,,,,,,,,,,,,,1.5,7210,179642,179.642,0.9,7615,188930,2.078,3.3,10215,0.765,254929,1.0517023,0.0118705,-9.545,-9.545,1.419096,0.0039736,-11.44,-11.44,0.0110706,-9.807,0.0019823,-11.43
6,41132,11/10/22,SAL_Std_01,A,6,0.568,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,4.0,5280,97350,97.35,3.6,5604,103370,1.137,6.9,7578,0.419,139747,1.0618378,0.0119849,0,0,1.4355176,0.0040196,0,0,0.0111802,0,0.0020052,0
7,41133,11/10/22,GA1_Std_01,A,7,0.566,N2,1,1,47.4,27,13.2,3316,61054,61.054,8.8,2182,40191,0.442,0.6582807,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
7,41133,11/10/22,GA1_Std_01,A,7,0.566,N2,2,0,215.3,75.7,13.9,1082,24416,24.416,9.1,710,16010,0.176,0.6557196,0.0073278,-3.891,-3.891,0.0036639,-3.891,,,,,,,,,,,,,,,,,,,,,,,,
7,41133,11/10/22,GA1_Std_01,A,7,0.566,CO2,3,0,360.7,101.6,,,,,,,,,,,,,,,1.5,6242,155127,155.127,0.9,6545,162074,1.783,3.3,8845,0.661,220169,1.0447809,0.011792,-16.091,-16.091,1.4192808,0.0039744,-11.223,-11.223,0.010992,-16.832,0.0019827,-11.198
7,41133,11/10/22,GA1_Std_01,A,7,0.566,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,3.8,5275,97913,97.913,3.3,5600,103971,1.144,6.6,7571,0.422,140543,1.0618672,0.0119849,0,0,1.4353902,0.0040196,0,0,0.0111802,0,0.0020052,0
8,41134,11/10/22,GA2_Std_01,A,8,0.56,N2,1,1,47.4,27,13.2,3315,61043,61.043,8.8,2181,40184,0.442,0.6582936,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
8,41134,11/10/22,GA2_Std_01,A,8,0.56,N2,2,0,215.5,75.7,13.9,1083,24387,24.387,9.2,710,15972,0.176,0.6549647,0.0073192,-5.057,-5.057,0.0036596,-5.057,,,,,,,,,,,,,,,,,,,,,,,,
8,41134,11/10/22,GA2_Std_01,A,8,0.56,CO2,3,0,360.9,100.3,,,,,,,,,,,,,,,1.5,6234,154736,154.736,0.9,6627,163878,1.803,3.3,8835,0.659,219656,1.0590797,0.0119536,-2.606,-2.606,1.4195499,0.0039755,-10.966,-10.966,0.0111535,-2.385,0.0019832,-10.973
8,41134,11/10/22,GA2_Std_01,A,8,0.56,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,3.7,5274,97907,97.907,3.2,5599,103962,1.144,6.4,7570,0.422,140525,1.0618465,0.0119849,0,0,1.43529,0.0040196,0,0,0.0111802,0,0.0020052,0
9,41135,11/10/22,SI_284,A,9,0.505,N2,1,1,47.4,27,13.2,3314,61086,61.086,8.8,2181,40216,0.442,0.6583478,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
9,41135,11/10/22,SI_284,A,9,0.505,N2,2,0,215.3,75.9,13.9,1117,25255,25.255,9.2,746,16860,0.185,0.6675805,0.0074596,14.024,14.024,0.0037298,14.024,,,,,,,,,,,,,,,,,,,,,,,,
9,41135,11/10/22,SI_284,A,9,0.505,CO2,3,0,361.8,99.1,,,,,,,,,,,,,,,1.5,5171,128268,128.268,0.9,5497,135945,1.495,3.3,7331,0.546,182081,1.0598498,0.011962,-1.909,-1.909,1.4195396,0.0039757,-10.923,-10.923,0.0111619,-1.639,0.0019833,-10.931
9,41135,11/10/22,SI_284,A,9,0.505,CO2,4,1,525.2,41.4,,,,,,,,,,,,,,,3.4,5272,97856,97.856,3.0,5598,103911,1.143,6.1,7566,0.421,140445,1.0618768,0.0119849,0,0,1.4352163,0.0040196,0,0,0.0111802,0,0.0020052,0
10,41136,11/10/22,SI_285,A,10,0.505,N2,1,1,47.4,27,13.1,3313,61073,61.073,8.9,2180,40208,0.442,0.6583653,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
10,41136,11/10/22,SI_285,A,10,0.505,N2,2,0,215.5,77.3,13.9,1336,30138,30.138,9.2,893,20125,0.221,0.6677808,0.0074616,14.301,14.301,0.0037308,14.301,,,,,,,,,,,,,,,,,,,,,,,,
10,41136,11/10/22,SI_285,A,10,0.505,CO2,3,0,361.4,100.3,,,,,,,,,,,,,,,1.4,5881,145911,145.911,0.9,6254,154665,1.701,3.2,8336,0.621,207153,1.0599992,0.0119636,-1.772,-1.772,1.4197271,0.0039764,-10.749,-10.749,0.0111634,-1.499,0.0019836,-10.758
10,41136,11/10/22,SI_285,A,10,0.505,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,3.5,5272,97917,97.917,3.1,5596,103976,1.144,6.2,7565,0.422,140525,1.0618813,0.0119849,0,0,1.435154,0.0040196,0,0,0.0111802,0,0.0020052,0
11,41137,11/10/22,SI_286,A,11,0.48,N2,1,1,47.4,27,13.2,3311,60998,60.998,8.9,2179,40160,0.442,0.6583835,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
11,41137,11/10/22,SI_286,A,11,0.48,N2,2,0,215.3,76.9,13.9,1310,29644,29.644,9.2,876,19794,0.218,0.6677245,0.0074608,14.188,14.188,0.0037304,14.188,,,,,,,,,,,,,,,,,,,,,,,,
11,41137,11/10/22,SI_286,A,11,0.48,CO2,3,0,361.6,100.5,,,,,,,,,,,,,,,1.5,5639,140148,140.148,0.9,5996,148549,1.634,3.3,7995,0.597,198997,1.0599435,0.011963,-1.826,-1.826,1.4199004,0.003977,-10.6,-10.6,0.0111627,-1.562,0.0019839,-10.608
11,41137,11/10/22,SI_286,A,11,0.48,CO2,4,1,525.2,41,,,,,,,,,,,,,,,3.4,5271,97807,97.807,2.9,5595,103860,1.142,6.0,7563,0.421,140364,1.0618821,0.0119849,0,0,1.4351124,0.0040196,0,0,0.0111802,0,0.0020052,0
12,41138,11/10/22,SI_287,A,12,0.463,N2,1,1,47.4,26.8,13.2,3309,60512,60.512,8.9,2178,39844,0.438,0.6584504,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
12,41138,11/10/22,SI_287,A,12,0.463,N2,2,0,215.3,76.3,13.9,1204,27118,27.118,9.2,804,18086,0.199,0.666921,0.007451,12.865,12.865,0.0037255,12.865,,,,,,,,,,,,,,,,,,,,,,,,
12,41138,11/10/22,SI_287,A,12,0.463,CO2,3,0,361.8,99.7,,,,,,,,,,,,,,,1.4,5255,129956,129.956,0.9,5584,137676,1.514,3.2,7451,0.554,184528,1.0594097,0.0119571,-2.313,-2.313,1.4199329,0.0039773,-10.52,-10.52,0.0111569,-2.088,0.0019841,-10.527
12,41138,11/10/22,SI_287,A,12,0.463,CO2,4,1,525.4,41,,,,,,,,,,,,,,,3.3,5272,97836,97.836,2.8,5596,103888,1.143,5.9,7564,0.421,140397,1.061866,0.0119849,0,0,1.4350298,0.0040196,0,0,0.0111802,0,0.0020052,0
13,41139,11/10/22,Blank,B,1,0,N2,1,1,47.7,27,13.1,3308,60940,60.94,8.9,2178,40129,0.441,0.6584993,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
13,41139,11/10/22,Blank,B,1,0,CO2,2,0,367,60.6,,,,,,,,,,,,,,,1.5,59,1466,1.466,1.0,62,1530,0.017,3.3,84,0.006,2085,1.0435795,0.0117768,-17.358,-17.358,1.4220835,0.0039828,-9.148,-9.148,0.010976,-18.268,0.0019869,-9.117
13,41139,11/10/22,Blank,B,1,0,CO2,3,1,525.4,40.8,,,,,,,,,,,,,,,1.4,5267,97745,97.745,0.8,5592,103807,1.142,3.0,7558,0.421,140285,1.0620137,0.0119849,0,0,1.4352124,0.0040196,0,0,0.0111802,0,0.0020052,0
