Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
18,37052,GA2_Std_02,G,3,0.564,CO2,3,0,374.5,112.4,,,,,,,,,,,,,,,0.1,5493,156803,156.803,-0.2,5823,165771,1.823,1.1,7839,0.672,223976,1.0571946,0.0119577,-2.263,-2.263,1.4283924,0.0039936,-6.469,-6.469,0.0111558,-2.185,0.0019922,-6.471
18,37052,GA2_Std_02,G,3,0.564,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,1.8,5344,99170,99.17,1.6,5661,105080,1.156,3.6,7679,0.428,142576,1.059592,0.0119849,0,0,1.4376923,0.0040196,0,0,0.0111802,0,0.0020052,0
19,37053,SAL_Std_02,G,4,0.454,N2,1,1,47.4,27.2,12.3,3819,70445,70.445,8.2,2515,46402,0.51,0.6586871,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
19,37053,SAL_Std_02,G,4,0.454,N2,2,0,215.9,90.7,12.7,1000,26668,26.668,8.4,667,17774,0.196,0.6664837,0.0074435,11.837,11.837,0.0037217,11.837,,,,,,,,,,,,,,,,,,,,,,,,
19,37053,SAL_Std_02,G,4,0.454,CO2,3,0,374.3,112.4,,,,,,,,,,,,,,,0.1,5109,146676,146.676,-0.1,5377,153981,1.694,1.2,7286,0.628,209398,1.0498092,0.0118743,-9.221,-9.221,1.4276281,0.0039916,-6.966,-6.966,0.0110726,-9.626,0.0019913,-6.952
19,37053,SAL_Std_02,G,4,0.454,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,1.7,5344,99169,99.169,1.6,5660,105077,1.156,3.6,7681,0.428,142570,1.0595795,0.0119849,0,0,1.4376432,0.0040196,0,0,0.0111802,0,0.0020052,0
20,37054,GA1_Std_02,G,5,0.564,N2,1,1,47.4,27.2,12.3,3817,70457,70.457,8.3,2513,46410,0.511,0.658695,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
20,37054,GA1_Std_02,G,5,0.564,N2,2,0,216.3,89.5,12.7,946,25000,25,8.4,621,16399,0.18,0.6559409,0.0073256,-4.181,-4.181,0.0036628,-4.181,,,,,,,,,,,,,,,,,,,,,,,,
20,37054,GA1_Std_02,G,5,0.564,CO2,3,0,374.3,113.5,,,,,,,,,,,,,,,0.1,5476,156491,156.491,-0.2,5725,163177,1.795,1.2,7808,0.67,223401,1.0427243,0.0117945,-15.884,-15.884,1.4275648,0.0039914,-7.006,-7.006,0.0109927,-16.768,0.0019912,-6.976
20,37054,GA1_Std_02,G,5,0.564,CO2,4,1,525.4,41.8,,,,,,,,,,,,,,,1.8,5344,99160,99.16,1.7,5660,105066,1.156,3.8,7680,0.428,142556,1.0595544,0.0119849,0,0,1.4376366,0.0040196,0,0,0.0111802,0,0.0020052,0
21,37055,SI_163a,G,6,0.5,N2,1,1,47.4,27.2,12.3,3817,70346,70.346,8.3,2516,46376,0.51,0.6592617,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
21,37055,SI_163a,G,6,0.5,N2,2,0,216.1,92.8,12.7,1185,31798,31.798,8.4,793,21262,0.234,0.6686722,0.0074614,14.274,14.274,0.0037307,14.274,,,,,,,,,,,,,,,,,,,,,,,,
21,37055,SI_163a,G,6,0.5,CO2,3,0,374.3,113.1,,,,,,,,,,,,,,,0.1,5114,147619,147.619,-0.1,5432,156368,1.72,1.2,7294,0.632,210684,1.0592656,0.0119812,-0.308,-0.308,1.4272161,0.0039904,-7.252,-7.252,0.0111795,-0.06,0.0019906,-7.26
21,37055,SI_163a,G,6,0.5,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,1.8,5340,99075,99.075,1.6,5656,104979,1.155,3.6,7675,0.427,142435,1.0595917,0.0119849,0,0,1.4376416,0.0040196,0,0,0.0111802,0,0.0020052,0
22,37056,SI_163b,G,7,0.454,N2,1,1,47.4,27.2,12.3,3817,70350,70.35,8.3,2515,46381,0.51,0.6592815,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
22,37056,SI_163b,G,7,0.454,N2,2,0,216.1,86.3,12.7,663,17501,17.501,8.4,443,11677,0.128,0.667226,0.007445,12.05,12.05,0.0037225,12.05,,,,,,,,,,,,,,,,,,,,,,,,
22,37056,SI_163b,G,7,0.454,CO2,3,0,375.2,109.3,,,,,,,,,,,,,,,0.1,4303,122136,122.136,-0.1,4553,128928,1.418,1.2,6138,0.523,174446,1.0556166,0.0119388,-3.843,-3.843,1.428294,0.0039935,-6.481,-6.481,0.0111368,-3.878,0.0019922,-6.48
22,37056,SI_163b,G,7,0.454,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,1.5,5340,99120,99.12,1.3,5657,105037,1.155,3.2,7675,0.427,142497,1.0596887,0.0119849,0,0,1.4376118,0.0040196,0,0,0.0111802,0,0.0020052,0
23,37057,SI_164a,G,8,0.484,N2,1,1,47.4,27.2,12.3,3812,70303,70.303,8.3,2512,46351,0.51,0.6593008,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
23,37057,SI_164a,G,8,0.484,N2,2,0,216.3,90.5,12.7,1040,27467,27.467,8.4,696,18355,0.202,0.6682649,0.0074564,13.596,13.596,0.0037282,13.596,,,,,,,,,,,,,,,,,,,,,,,,
23,37057,SI_164a,G,8,0.484,CO2,3,0,375.2,110.4,,,,,,,,,,,,,,,0.1,4519,128432,128.432,-0.1,4797,136010,1.496,1.2,6451,0.551,183502,1.0590012,0.0119775,-0.616,-0.616,1.4287852,0.0039949,-6.134,-6.134,0.0111754,-0.432,0.0019929,-6.14
