Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,42133,12/07/22,Dummy,A,1,0.454,N2,1,1,47.4,27,15.7,3262,60087,60.087,10.6,2147,39563,0.435,0.6584326,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,42133,12/07/22,Dummy,A,1,0.454,N2,2,0,216.1,74,16.4,1176,25445,25.445,11.0,784,16952,0.186,0.6662316,0.0074435,11.845,11.845,0.0037218,11.845,,,,,,,,,,,,,,,,,,,,,,,,
1,42133,12/07/22,Dummy,A,1,0.454,CO2,3,0,368.5,102,,,,,,,,,,,,,,,1.5,5920,143781,143.781,1.0,6252,151276,1.664,3.2,8528,0.622,207417,1.052129,0.0118789,-8.837,-8.837,1.4425899,0.0040414,5.433,5.433,0.011072,-9.676,0.0020162,5.461
1,42133,12/07/22,Dummy,A,1,0.454,CO2,4,1,525.4,43.1,,,,,,,,,,,,,,,5.7,5219,96691,96.691,5.4,5538,102638,1.129,9.5,7487,0.416,138731,1.06151,0.0119849,0,0,1.4347943,0.0040196,0,0,0.0111802,0,0.0020052,0
2,42134,12/07/22,Blank,A,2,0,N2,1,1,47.4,27,16.6,3258,60071,60.071,11.5,2147,39595,0.436,0.659132,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,42134,12/07/22,Blank,A,2,0,CO2,2,0,374.1,62.3,,,,,,,,,,,,,,,1.9,83,2025,2.025,1.4,86,2105,0.023,3.9,120,0.009,2929,1.0397232,0.0117367,-20.707,-20.707,1.4467224,0.0040525,8.202,8.202,0.0109286,-22.504,0.0020218,8.262
2,42134,12/07/22,Blank,A,2,0,CO2,3,1,525.2,41,,,,,,,,,,,,,,,2.0,5219,96554,96.554,1.5,5538,102512,1.128,3.9,7485,0.416,138550,1.0617081,0.0119849,0,0,1.4349524,0.0040196,0,0,0.0111802,0,0.0020052,0
3,42135,12/07/22,GA1_QTY_0.14,A,3,0.127,N2,1,1,47.4,27,16.1,3261,60123,60.123,11.0,2147,39585,0.435,0.6583929,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,42135,12/07/22,GA1_QTY_0.14,A,3,0.127,N2,2,0,215.9,63.5,16.5,239,5234,5.234,11.1,157,3433,0.038,0.6557964,0.0073274,-3.944,-3.944,0.0036637,-3.944,,,,,,,,,,,,,,,,,,,,,,,,
3,42135,12/07/22,GA1_QTY_0.14,A,3,0.127,CO2,3,0,372.4,83.8,,,,,,,,,,,,,,,1.5,1469,35159,35.159,1.0,1537,36765,0.404,3.4,2119,0.152,50800,1.0456739,0.0118046,-15.041,-15.041,1.4448366,0.0040472,6.887,6.887,0.0109971,-16.381,0.0020191,6.932
3,42135,12/07/22,GA1_QTY_0.14,A,3,0.127,CO2,4,1,525.2,41.2,,,,,,,,,,,,,,,2.7,5217,96711,96.711,2.2,5538,102673,1.129,5.0,7486,0.416,138776,1.0616424,0.0119849,0,0,1.4349534,0.0040196,0,0,0.0111802,0,0.0020052,0
4,42136,12/07/22,GA1_QTY_0.56,A,4,0.614,N2,1,1,47.4,27,16.2,3261,60155,60.155,11.1,2147,39607,0.436,0.6584137,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,42136,12/07/22,GA1_QTY_0.56,A,4,0.614,N2,2,0,215.7,72.7,16.7,1217,26167,26.167,11.2,799,17161,0.189,0.6558421,0.0073277,-3.906,-3.906,0.0036638,-3.906,,,,,,,,,,,,,,,,,,,,,,,,
4,42136,12/07/22,GA1_QTY_0.56,A,4,0.614,CO2,3,0,366.6,99.5,,,,,,,,,,,,,,,1.6,6965,168837,168.837,1.0,7312,176470,1.941,3.4,10033,0.731,243577,1.045211,0.0118007,-15.367,-15.367,1.4426821,0.0040418,5.53,5.53,0.0109937,-16.68,0.0020164,5.573
4,42136,12/07/22,GA1_QTY_0.56,A,4,0.614,CO2,4,1,525.4,42.2,,,,,,,,,,,,,,,4.3,5220,96719,96.719,3.9,5540,102670,1.129,7.4,7489,0.416,138767,1.0615239,0.0119849,0,0,1.4347485,0.0040196,0,0,0.0111802,0,0.0020052,0
5,42137,12/07/22,GA1_QTY_0.70,A,5,0.721,N2,1,1,47.4,27,16.6,3260,60074,60.074,11.4,2146,39555,0.435,0.6584458,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,42137,12/07/22,GA1_QTY_0.70,A,5,0.721,N2,2,0,216.1,74,16.9,1434,30714,30.714,11.5,941,20139,0.222,0.6556855,0.0073256,-4.192,-4.192,0.0036628,-4.192,,,,,,,,,,,,,,,,,,,,,,,,
5,42137,12/07/22,GA1_QTY_0.70,A,5,0.721,CO2,3,0,366,102.8,,,,,,,,,,,,,,,1.8,8165,198512,198.512,1.2,8580,207479,2.282,3.7,11757,0.859,286194,1.0451699,0.0118007,-15.363,-15.363,1.4416942,0.0040391,4.872,4.872,0.010994,-16.651,0.0020151,4.915
5,42137,12/07/22,GA1_QTY_0.70,A,5,0.721,CO2,4,1,525.4,41.6,,,,,,,,,,,,,,,4.9,5220,96710,96.71,4.6,5539,102655,1.129,8.3,7487,0.416,138750,1.0614773,0.0119849,0,0,1.4347037,0.0040196,0,0,0.0111802,0,0.0020052,0
6,42138,12/07/22,SAL_Std_01,A,6,0.579,N2,1,1,47.4,27,16.7,3259,60043,60.043,11.5,2146,39534,0.435,0.6584319,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
6,42138,12/07/22,SAL_Std_01,A,6,0.579,N2,2,0,216.1,75.2,17.0,1517,32669,32.669,11.6,1011,21765,0.239,0.6662235,0.0074435,11.834,11.834,0.0037217,11.834,,,,,,,,,,,,,,,,,,,,,,,,
6,42138,12/07/22,SAL_Std_01,A,6,0.579,CO2,3,0,366.6,106,,,,,,,,,,,,,,,1.9,7589,185054,185.054,1.4,8022,194680,2.141,3.8,10925,0.8,266783,1.0520197,0.0118782,-8.9,-8.9,1.4416542,0.0040391,4.867,4.867,0.0110715,-9.722,0.002015,4.895
6,42138,12/07/22,SAL_Std_01,A,6,0.579,CO2,4,1,525.4,43.1,,,,,,,,,,,,,,,6.7,5220,96717,96.717,6.4,5539,102662,1.129,10.9,7489,0.416,138757,1.0614666,0.0119849,0,0,1.434671,0.0040196,0,0,0.0111802,0,0.0020052,0
7,42139,12/07/22,GA1_Std_01,A,7,0.554,N2,1,1,47.4,27,16.8,3256,59960,59.96,11.7,2146,39521,0.435,0.6591229,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
7,42139,12/07/22,GA1_Std_01,A,7,0.554,N2,2,0,215.9,72.5,17.0,1084,23352,23.352,11.6,712,15328,0.169,0.6563712,0.0073257,-4.175,-4.175,0.0036628,-4.175,,,,,,,,,,,,,,,,,,,,,,,,
7,42139,12/07/22,GA1_Std_01,A,7,0.554,CO2,3,0,367.6,99.5,,,,,,,,,,,,,,,1.9,6275,151853,151.853,1.4,6583,158708,1.746,3.9,9035,0.657,218974,1.0451422,0.0118003,-15.402,-15.402,1.4420156,0.0040402,5.124,5.124,0.0109935,-16.702,0.0020156,5.167
7,42139,12/07/22,GA1_Std_01,A,7,0.554,CO2,4,1,525.4,42.2,,,,,,,,,,,,,,,4.4,5219,96708,96.708,4.0,5539,102655,1.129,7.6,7487,0.416,138744,1.0614913,0.0119849,0,0,1.4346648,0.0040196,0,0,0.0111802,0,0.0020052,0
8,42140,12/07/22,GA2_Std_01,A,8,0.54,N2,1,1,47.4,27,16.6,3258,60020,60.02,11.6,2145,39521,0.435,0.6584611,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
8,42140,12/07/22,GA2_Std_01,A,8,0.54,N2,2,0,215.7,72.5,17.0,1064,22984,22.984,11.6,698,15057,0.166,0.6550815,0.0073186,-5.132,-5.132,0.0036593,-5.132,,,,,,,,,,,,,,,,,,,,,,,,
8,42140,12/07/22,GA2_Std_01,A,8,0.54,CO2,3,0,367.4,97.8,,,,,,,,,,,,,,,1.9,6108,147953,147.953,1.4,6496,156761,1.724,3.9,8795,0.64,213353,1.0595332,0.0119626,-1.857,-1.857,1.4420318,0.0040403,5.149,5.149,0.0111558,-2.182,0.0020155,5.16
8,42140,12/07/22,GA2_Std_01,A,8,0.54,CO2,4,1,525.4,42,,,,,,,,,,,,,,,4.1,5218,96706,96.706,3.8,5538,102654,1.129,7.2,7485,0.416,138739,1.0615048,0.0119849,0,0,1.4346446,0.0040196,0,0,0.0111802,0,0.0020052,0
