Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,37084,Dummy,A,1,0.407,N2,1,1,47.4,27.2,10.9,3819,70391,70.391,7,2518,46425,0.511,0.6595327,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,37084,Dummy,A,1,0.407,N2,2,0,216.7,89.7,11.6,900,24112,24.112,7.4,601,16091,0.177,0.6673241,0.0074433,11.814,11.814,0.0037217,11.814,,,,,,,,,,,,,,,,,,,,,,,,
1,37084,Dummy,A,1,0.407,CO2,3,0,375.6,112.9,,,,,,,,,,,,,,,-0.3,4594,132346,132.346,-0.5,4831,138853,1.527,0.6,6562,0.568,189186,1.0491627,0.0118746,-9.203,-9.203,1.4294758,0.0039953,-6.047,-6.047,0.0110724,-9.641,0.0019931,-6.032
1,37084,Dummy,A,1,0.407,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,1.4,5325,98515,98.515,1.2,5637,104318,1.147,3,7657,0.425,141681,1.0589074,0.0119849,0,0,1.4381723,0.0040196,0,0,0.0111802,0,0.0020052,0
2,37085,Blank,A,2,0,N2,1,1,47.4,27.2,11.7,3816,70406,70.406,7.8,2516,46432,0.511,0.6594894,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,37085,Blank,A,2,0,CO2,2,1,525.2,40.8,,,,,,,,,,,,,,,-0.1,5324,98685,98.685,-0.4,5635,104502,1.15,0.7,7653,0.426,141940,1.0589448,0.0119849,0,0,1.438312,0.0040196,0,0,0.0111802,0,0.0020052,0
3,37086,GA1_QTY_0.14,A,3,0.158,N2,1,1,47.4,27.2,11.8,3816,70393,70.393,7.7,2516,46422,0.511,0.6594653,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,37086,GA1_QTY_0.14,A,3,0.158,N2,2,0,216.3,79.2,12.2,252,6860,6.86,8,166,4506,0.05,0.6568102,0.0073268,-4.026,-4.026,0.0036634,-4.026,,,,,,,,,,,,,,,,,,,,,,,,
3,37086,GA1_QTY_0.14,A,3,0.158,CO2,3,0,378.3,100.3,,,,,,,,,,,,,,,-0.1,1502,43444,43.444,-0.4,1567,45290,0.498,0.8,2148,0.187,62206,1.0424871,0.0117987,-15.535,-15.535,1.4318492,0.0040017,-4.438,-4.438,0.0109958,-16.489,0.0019964,-4.406
3,37086,GA1_QTY_0.14,A,3,0.158,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,0.5,5327,98837,98.837,0.2,5640,104662,1.151,1.7,7662,0.426,142150,1.0589375,0.0119849,0,0,1.4382319,0.0040196,0,0,0.0111802,0,0.0020052,0
4,37087,GA1_QTY_0.56,A,4,0.6,N2,1,1,47.4,27.2,11.9,3808,70166,70.166,7.9,2511,46274,0.509,0.6594925,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,37087,GA1_QTY_0.56,A,4,0.6,N2,2,0,216.5,92.4,12.4,971,26234,26.234,8.1,638,17229,0.19,0.6567584,0.0073259,-4.146,-4.146,0.003663,-4.146,,,,,,,,,,,,,,,,,,,,,,,,
