Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,41620,11/15/22,Dummy,A,1,0.43,N2,1,1,47.4,27,11.3,3402,62699,62.699,7.0,2239,41276,0.454,0.6583299,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,41620,11/15/22,Dummy,A,1,0.43,N2,2,0,216.1,75.9,12.4,1116,25130,25.13,7.6,746,16799,0.185,0.668471,0.0074697,15.404,15.404,0.0037349,15.404,,,,,,,,,,,,,,,,,,,,,,,,
1,41620,11/15/22,Dummy,A,1,0.43,CO2,3,0,366.6,94.7,,,,,,,,,,,,,,,0.4,4722,117052,117.052,-0.3,5031,124345,1.368,1.4,6772,0.504,168087,1.0623038,0.0119993,1.204,1.204,1.436003,0.0040199,0.082,0.082,0.0111946,1.288,0.0020054,0.079
1,41620,11/15/22,Dummy,A,1,0.43,CO2,4,1,525.2,40.8,,,,,,,,,,,,,,,1.5,5383,99168,99.168,0.9,5708,105220,1.157,3.0,7726,0.427,142394,1.0610264,0.0119849,0,0,1.4358858,0.0040196,0,0,0.0111802,0,0.0020052,0
2,41621,11/15/22,Blank,A,2,0,N2,1,1,47.4,26.8,12.5,3399,62690,62.69,8.1,2237,41269,0.454,0.6583029,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,41621,11/15/22,Blank,A,2,0,CO2,2,1,525.2,41,,,,,,,,,,,,,,,0.6,5380,99356,99.356,-0.1,5706,105433,1.16,1.7,7722,0.428,142665,1.0611702,0.0119849,0,0,1.4358989,0.0040196,0,0,0.0111802,0,0.0020052,0
3,41622,11/15/22,GA1_QTY_0.14,A,3,0.14,N2,1,1,47.4,27,12.5,3400,62638,62.638,8.1,2238,41238,0.454,0.6583495,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,41622,11/15/22,GA1_QTY_0.14,A,3,0.14,N2,2,0,216.5,67.7,13.3,261,5991,5.991,8.5,171,3929,0.043,0.6558598,0.0073286,-3.782,-3.782,0.0036643,-3.782,,,,,,,,,,,,,,,,,,,,,,,,
3,41622,11/15/22,GA1_QTY_0.14,A,3,0.14,CO2,3,0,370.1,85.1,,,,,,,,,,,,,,,0.5,1559,38717,38.717,-0.1,1630,40451,0.445,1.7,2236,0.167,55590,1.0447859,0.0118008,-15.355,-15.355,1.4357817,0.0040196,0.003,0.003,0.0109962,-16.462,0.0020053,0.04
3,41622,11/15/22,GA1_QTY_0.14,A,3,0.14,CO2,4,1,525.2,40.5,,,,,,,,,,,,,,,1.0,5383,99584,99.584,0.4,5708,105667,1.162,2.4,7725,0.429,142981,1.0610787,0.0119849,0,0,1.435777,0.0040196,0,0,0.0111802,0,0.0020052,0
4,41623,11/15/22,GA1_QTY_0.56,A,4,0.585,N2,1,1,47.4,27,12.8,3398,62625,62.625,8.4,2237,41231,0.454,0.6583767,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,41623,11/15/22,GA1_QTY_0.56,A,4,0.585,N2,2,0,216.9,76.5,13.5,1136,25506,25.506,8.7,745,16722,0.184,0.6555955,0.0073253,-4.224,-4.224,0.0036627,-4.224,,,,,,,,,,,,,,,,,,,,,,,,
4,41623,11/15/22,GA1_QTY_0.56,A,4,0.585,CO2,3,0,366,97.8,,,,,,,,,,,,,,,0.6,6522,163146,163.146,-0.0,6836,170386,1.874,1.8,9364,0.704,234522,1.0443801,0.0117979,-15.602,-15.602,1.4375012,0.0040249,1.341,1.341,0.0109926,-16.776,0.002008,1.38
