Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
16,36697,SI_40,B,6,0.453,N2,2,0,220.7,127.5,12.9,354,12192,12.192,8.7,236,8121,0.089,0.6661405,0.0074295,9.932,9.932,0.0037147,9.932,,,,,,,,,,,,,,,,,,,,,,,,
16,36697,SI_40,B,6,0.453,CO2,3,0,375.8,165.9,,,,,,,,,,,,,,,0.2,2365,86405,86.405,0,2500,91303,1.004,1.5,3381,0.371,123604,1.0566861,0.0119552,-2.477,-2.477,1.4305236,0.0039987,-5.196,-5.196,0.0111527,-2.462,0.0019948,-5.196
16,36697,SI_40,B,6,0.453,CO2,4,1,525.8,43.5,,,,,,,,,,,,,,,0.2,5335,99774,99.774,0,5650,105691,1.163,1.5,7671,0.43,143474,1.0593098,0.0119849,0,0,1.4379949,0.0040196,0,0,0.0111802,0,0.0020052,0
17,36698,SI_41,B,7,0.479,N2,1,1,47.9,27.2,13.1,3791,69968,69.968,9.1,2496,46075,0.507,0.6585253,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
17,36698,SI_41,B,7,0.479,N2,2,0,220.5,122.9,12.8,277,9611,9.611,8.6,184,6391,0.07,0.664923,0.0074279,9.715,9.715,0.0037139,9.715,,,,,,,,,,,,,,,,,,,,,,,,
17,36698,SI_41,B,7,0.479,CO2,3,0,376.2,165.7,,,,,,,,,,,,,,,0.2,2086,77212,77.212,0,2211,81803,0.9,1.4,2983,0.331,110498,1.0594576,0.0119864,0.127,0.127,1.4310885,0.0040001,-4.838,-4.838,0.0111837,0.316,0.0019955,-4.844
17,36698,SI_41,B,7,0.479,CO2,4,1,525.8,43.5,,,,,,,,,,,,,,,0.2,5334,99879,99.879,0,5649,105804,1.164,1.4,7669,0.431,143630,1.0593235,0.0119849,0,0,1.4380463,0.0040196,0,0,0.0111802,0,0.0020052,0
18,36699,SAL_Std_02,B,8,0.469,N2,1,1,47.9,27.2,13.1,3786,69932,69.932,9,2493,46051,0.507,0.6585092,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
18,36699,SAL_Std_02,B,8,0.469,N2,2,0,220.5,129,12.9,737,26168,26.168,8.6,491,17424,0.192,0.6658377,0.0074383,11.129,11.129,0.0037191,11.129,,,,,,,,,,,,,,,,,,,,,,,,
18,36699,SAL_Std_02,B,8,0.469,CO2,3,0,374.3,167,,,,,,,,,,,,,,,0.1,3836,146031,146.031,-0.1,4029,153242,1.686,1.5,5480,0.626,208708,1.0493815,0.0118757,-9.108,-9.108,1.4292081,0.0039956,-5.948,-5.948,0.0110735,-9.543,0.0019933,-5.934
18,36699,SAL_Std_02,B,8,0.469,CO2,4,1,525.6,43.5,,,,,,,,,,,,,,,0.1,5364,101045,101.045,-0.1,5680,107009,1.177,1.5,7711,0.436,145278,1.0590271,0.0119849,0,0,1.4377606,0.0040196,0,0,0.0111802,0,0.0020052,0
19,36700,GA1_Std_02,B,9,0.533,N2,1,1,47.7,27.2,13.8,3779,69765,69.765,9.8,2488,45941,0.505,0.658512,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
19,36700,GA1_Std_02,B,9,0.533,N2,2,0,220.7,128.5,13,615,22213,22.213,8.8,403,14556,0.16,0.6552881,0.0073204,-4.896,-4.896,0.0036602,-4.896,,,,,,,,,,,,,,,,,,,,,,,,
19,36700,GA1_Std_02,B,9,0.533,CO2,3,0,374.7,167,,,,,,,,,,,,,,,0.2,3658,142010,142.01,0,3816,148047,1.629,1.7,5225,0.609,202964,1.0425151,0.0118,-15.423,-15.423,1.4292249,0.0039957,-5.931,-5.931,0.0109978,-16.313,0.0019934,-5.901
19,36700,GA1_Std_02,B,9,0.533,CO2,4,1,525.6,43.5,,,,,,,,,,,,,,,0.2,5363,101280,101.28,0,5678,107240,1.18,1.7,7710,0.437,145616,1.0588453,0.0119849,0,0,1.4377516,0.0040196,0,0,0.0111802,0,0.0020052,0
20,36701,GA2_Std_02,B,10,0.587,N2,1,1,47.7,27.4,13.9,3774,69698,69.698,9.9,2487,45943,0.505,0.6591707,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
20,36701,GA2_Std_02,B,10,0.587,N2,2,0,220.9,128.5,13.1,685,24538,24.538,8.8,449,16078,0.177,0.6552431,0.0073126,-5.958,-5.958,0.0036563,-5.958,,,,,,,,,,,,,,,,,,,,,,,,
