Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,36633,Dummy,E,2,0.54,N2,1,1,47.7,26.5,11.6,3865,69726,69.726,7.5,2548,45969,0.506,0.6592827,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,36633,Dummy,E,2,0.54,N2,2,0,220.9,90.3,12.2,475,13854,13.854,7.9,317,9241,0.102,0.6670116,0.0074426,11.723,11.723,0.0037213,11.723,,,,,,,,,,,,,,,,,,,,,,,,
1,36633,Dummy,E,2,0.54,CO2,3,0,376.2,111.2,,,,,,,,,,,,,,,-0.2,2808,85415,85.415,-0.4,2975,90413,0.995,0.8,4010,0.366,122100,1.0585053,0.011976,-0.741,-0.741,1.4294888,0.0039951,-6.095,-6.095,0.0111739,-0.568,0.001993,-6.1
1,36633,Dummy,E,2,0.54,CO2,4,1,525.6,40.5,,,,,,,,,,,,,,,0.8,5413,100469,100.469,0.6,5731,106426,1.171,2.2,7782,0.434,144500,1.0592905,0.0119849,0,0,1.4382545,0.0040196,0,0,0.0111802,0,0.0020052,0
2,36634,Blank,E,3,0,N2,1,1,47.7,27.2,12.1,3861,71296,71.296,8,2545,47000,0.517,0.6592284,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,36634,Blank,E,3,0,CO2,2,1,525.4,39.7,,,,,,,,,,,,,,,-0.1,5409,100295,100.295,-0.4,5728,106255,1.169,0.8,7776,0.433,144264,1.0594263,0.0119849,0,0,1.4383972,0.0040196,0,0,0.0111802,0,0.0020052,0
3,36635,GA1_QTY_0.14,E,4,0.142,N2,1,1,47.7,27.2,12.1,3860,70618,70.618,8,2546,46586,0.512,0.6596918,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,36635,GA1_QTY_0.14,E,4,0.142,N2,2,0,221.1,83.4,12.6,211,6187,6.187,8.3,138,4067,0.045,0.6573438,0.0073302,-3.559,-3.559,0.0036651,-3.559,,,,,,,,,,,,,,,,,,,,,,,,
3,36635,GA1_QTY_0.14,E,4,0.142,CO2,3,0,377.9,103.7,,,,,,,,,,,,,,,-0.1,1252,38268,38.268,-0.4,1306,39908,0.439,0.9,1789,0.164,54736,1.0428605,0.0117989,-15.517,-15.517,1.430349,0.0039973,-5.549,-5.549,0.0109965,-16.429,0.0019941,-5.518
3,36635,GA1_QTY_0.14,E,4,0.142,CO2,4,1,525.4,41,,,,,,,,,,,,,,,0.4,5406,100366,100.366,0.2,5724,106317,1.169,1.6,7773,0.433,144359,1.0592981,0.0119849,0,0,1.4383303,0.0040196,0,0,0.0111802,0,0.0020052,0
4,36636,GA1_QTY_0.56,E,5,0.573,N2,1,1,47.7,27.2,12.2,3865,71199,71.199,8.1,2547,46935,0.516,0.6592162,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,36636,GA1_QTY_0.56,E,5,0.573,N2,2,0,220.9,95.1,12.7,907,26017,26.017,8.4,596,17081,0.188,0.6565511,0.0073267,-4.043,-4.043,0.0036633,-4.043,,,,,,,,,,,,,,,,,,,,,,,,
4,36636,GA1_QTY_0.56,E,5,0.573,CO2,3,0,373.5,117.9,,,,,,,,,,,,,,,-0.1,5328,161459,161.459,-0.3,5565,168300,1.851,0.9,7600,0.691,230438,1.0423701,0.0117941,-15.919,-15.919,1.4272226,0.003989,-7.607,-7.607,0.0109926,-16.782,0.00199,-7.578
4,36636,GA1_QTY_0.56,E,5,0.573,CO2,4,1,525.4,41,,,,,,,,,,,,,,,1.6,5413,100602,100.602,1.4,5731,106561,1.172,3.4,7782,0.434,144682,1.0592315,0.0119849,0,0,1.4381623,0.0040196,0,0,0.0111802,0,0.0020052,0
5,36637,GA1_QTY_0.70,E,6,0.709,N2,1,1,47.7,27.2,12.4,3865,71187,71.187,8.3,2549,46961,0.517,0.6596756,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,36637,GA1_QTY_0.70,E,6,0.709,N2,2,0,221.1,97.8,12.8,1117,32126,32.126,8.5,734,21106,0.232,0.6569759,0.0073263,-4.092,-4.092,0.0036631,-4.092,,,,,,,,,,,,,,,,,,,,,,,,
5,36637,GA1_QTY_0.70,E,6,0.709,CO2,3,0,372.6,120.4,,,,,,,,,,,,,,,0,6561,199975,199.975,-0.2,6856,208427,2.293,1.1,9341,0.855,284897,1.0422637,0.0117934,-15.978,-15.978,1.4246613,0.0039818,-9.389,-9.389,0.0109926,-16.779,0.0019864,-9.362
5,36637,GA1_QTY_0.70,E,6,0.709,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,2,5410,100405,100.405,1.8,5727,106347,1.17,3.9,7777,0.433,144398,1.0591874,0.0119849,0,0,1.4381649,0.0040196,0,0,0.0111802,0,0.0020052,0
6,36638,GA2_Std_01,E,7,0.584,N2,1,1,47.7,27.2,12.5,3871,71332,71.332,8.4,2551,47024,0.517,0.6592341,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
