Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
24,42205,12/8/22,SI_728,B,12,0.464,N2,2,0,215.7,75,17,1289,27851,27.851,11.7,862,18601,0.205,0.6678872,0.0074586,13.889,13.889,0.0037293,13.889,,,,,,,,,,,,,,,,,,,,,,,,
24,42205,12/8/22,SI_728,B,12,0.464,CO2,3,0,367.4,99.5,,,,,,,,,,,,,,,2,5614,136017,136.017,1.4,5968,144084,1.585,4,8101,0.59,196557,1.0593066,0.0119538,-2.591,-2.591,1.445087,0.0040511,7.84,7.84,0.0111459,-3.069,0.002021,7.856
24,42205,12/8/22,SI_728,B,12,0.464,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,4.9,5196,96255,96.255,4.5,5516,102228,1.125,8.2,7448,0.414,138014,1.0620589,0.0119849,0,0,1.4338453,0.0040196,0,0,0.0111802,0,0.0020052,0
25,42206,12/8/22,Blank,C,1,0,N2,1,1,47.4,27,16.6,3250,59900,59.9,11.5,2141,39459,0.434,0.6587499,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
25,42206,12/8/22,Blank,C,1,0,CO2,2,0,372.9,59.4,,,,,,,,,,,,,,,1.8,55,1349,1.349,1.3,58,1410,0.016,3.8,80,0.006,1955,1.0452912,0.0117939,-15.933,-15.933,1.4491039,0.0040618,10.5,10.5,0.0109849,-17.47,0.0020264,10.551
25,42206,12/8/22,Blank,C,1,0,CO2,3,1,525.2,40.8,,,,,,,,,,,,,,,1.7,5198,96168,96.168,1.1,5518,102151,1.124,3.5,7450,0.414,137909,1.0622152,0.0119849,0,0,1.4340465,0.0040196,0,0,0.0111802,0,0.0020052,0
26,42207,12/8/22,SI_729,C,2,0.467,N2,1,1,47.4,27,15.8,3253,59938,59.938,10.7,2142,39486,0.434,0.6587744,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
26,42207,12/8/22,SI_729,C,2,0.467,N2,2,0,215.9,74,16.3,1319,28359,28.359,11,882,18941,0.208,0.6679114,0.0074584,13.87,13.87,0.0037292,13.87,,,,,,,,,,,,,,,,,,,,,,,,
26,42207,12/8/22,SI_729,C,2,0.467,CO2,3,0,367.4,96.6,,,,,,,,,,,,,,,1.3,5881,142864,142.864,0.8,6249,151213,1.663,3,8488,0.619,206460,1.0584426,0.0119445,-3.371,-3.371,1.4451572,0.0040511,7.837,7.837,0.0111365,-3.904,0.0020209,7.854
26,42207,12/8/22,SI_729,C,2,0.467,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,3.8,5196,96255,96.255,3.4,5516,102225,1.124,6.7,7448,0.414,138022,1.0620224,0.0119849,0,0,1.4339196,0.0040196,0,0,0.0111802,0,0.0020052,0
27,42208,12/8/22,SI_730,C,3,0.413,N2,1,1,47.4,27,16.1,3250,59864,59.864,11.1,2141,39435,0.434,0.6587442,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
