Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,41424,11/13/22,Dummy,A,1,0.505,N2,1,1,47.4,27,12.7,3387,62442,62.442,8.2,2231,41148,0.453,0.658981,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,41424,11/13/22,Dummy,A,1,0.505,N2,2,0,214.9,76.7,13.6,1316,29501,29.501,8.8,878,19670,0.216,0.6667842,0.0074435,11.841,11.841,0.0037218,11.841,,,,,,,,,,,,,,,,,,,,,,,,
1,41424,11/13/22,Dummy,A,1,0.505,CO2,3,0,363.9,98.2,,,,,,,,,,,,,,,0.8,6600,164106,164.106,0.2,6970,172634,1.899,2.2,9446,0.706,235185,1.0519662,0.0118758,-9.1,-9.1,1.4331305,0.0040141,-1.361,-1.361,0.0110717,-9.705,0.0020025,-1.341
1,41424,11/13/22,Dummy,A,1,0.505,CO2,4,1,525.2,41.2,,,,,,,,,,,,,,,2.1,5380,99711,99.711,1.6,5708,105855,1.164,4.2,7718,0.429,143093,1.0616271,0.0119849,0,0,1.435084,0.0040196,0,0,0.0111802,0,0.0020052,0
2,41425,11/13/22,Blank,A,2,0,N2,1,1,47.4,27,13.3,3383,62315,62.315,8.8,2227,41036,0.451,0.6585312,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,41425,11/13/22,Blank,A,2,0,CO2,2,1,525.2,41.2,,,,,,,,,,,,,,,0.9,5382,99600,99.6,0.2,5709,105719,1.163,2.3,7723,0.429,142994,1.0614275,0.0119849,0,0,1.4356761,0.0040196,0,0,0.0111802,0,0.0020052,0
3,41426,11/13/22,GA1_QTY_0.14,A,3,0.162,N2,1,1,47.4,27,13.1,3385,62376,62.376,8.6,2229,41074,0.452,0.6584848,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,41426,11/13/22,GA1_QTY_0.14,A,3,0.162,N2,2,0,214.4,67.3,13.8,312,7058,7.058,9.0,205,4628,0.051,0.6556705,0.007325,-4.274,-4.274,0.0036625,-4.274,,,,,,,,,,,,,,,,,,,,,,,,
3,41426,11/13/22,GA1_QTY_0.14,A,3,0.162,CO2,3,0,367.8,86.3,,,,,,,,,,,,,,,0.8,1820,44731,44.731,0.2,1903,46736,0.514,2.2,2606,0.192,64127,1.0448136,0.0117991,-15.498,-15.498,1.4336106,0.0040138,-1.441,-1.441,0.010995,-16.561,0.0020024,-1.405
3,41426,11/13/22,GA1_QTY_0.14,A,3,0.162,CO2,4,1,525.2,41.4,,,,,,,,,,,,,,,1.3,5381,99704,99.704,0.7,5707,105812,1.164,2.9,7722,0.429,143143,1.0612607,0.0119849,0,0,1.4356792,0.0040196,0,0,0.0111802,0,0.0020052,0
4,41427,11/13/22,GA1_QTY_0.56,A,4,0.528,N2,1,1,47.4,27,13.3,3385,62421,62.421,8.8,2228,41103,0.452,0.6584879,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,41427,11/13/22,GA1_QTY_0.56,A,4,0.528,N2,2,0,214.4,74,14.0,1012,22504,22.504,9.2,664,14758,0.162,0.6557889,0.0073262,-4.099,-4.099,0.0036631,-4.099,,,,,,,,,,,,,,,,,,,,,,,,
4,41427,11/13/22,GA1_QTY_0.56,A,4,0.528,CO2,3,0,364.1,96.3,,,,,,,,,,,,,,,0.8,5798,142798,142.798,0.2,6078,149168,1.641,2.2,8306,0.615,204875,1.0446142,0.0117976,-15.625,-15.625,1.4347257,0.0040173,-0.559,-0.559,0.0109932,-16.73,0.0020042,-0.522
4,41427,11/13/22,GA1_QTY_0.56,A,4,0.528,CO2,4,1,525.2,41.4,,,,,,,,,,,,,,,2.0,5384,99809,99.809,1.4,5710,105917,1.165,3.9,7724,0.43,143278,1.0611952,0.0119849,0,0,1.4355275,0.0040196,0,0,0.0111802,0,0.0020052,0
5,41428,11/13/22,GA1_QTY_0.70,A,5,0.743,N2,1,1,47.4,27,13.4,3383,62312,62.312,8.9,2227,41034,0.451,0.6585273,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,41428,11/13/22,GA1_QTY_0.70,A,5,0.743,N2,2,0,214.4,77.1,14.1,1469,32725,32.725,9.3,964,21464,0.236,0.6558723,0.0073267,-4.032,-4.032,0.0036634,-4.032,,,,,,,,,,,,,,,,,,,,,,,,
5,41428,11/13/22,GA1_QTY_0.70,A,5,0.743,CO2,3,0,361.8,100.5,,,,,,,,,,,,,,,0.9,8320,207339,207.339,0.3,8736,216579,2.382,2.4,11922,0.892,297439,1.0445635,0.0117972,-15.656,-15.656,1.4345552,0.0040172,-0.588,-0.588,0.0109928,-16.762,0.0020041,-0.551
5,41428,11/13/22,GA1_QTY_0.70,A,5,0.743,CO2,4,1,525.2,41.2,,,,,,,,,,,,,,,2.4,5377,99632,99.632,1.8,5703,105728,1.163,4.6,7715,0.429,143012,1.0611771,0.0119849,0,0,1.4353992,0.0040196,0,0,0.0111802,0,0.0020052,0
6,41429,11/13/22,SAL_Std_01,A,6,0.567,N2,1,1,47.4,27,13.5,3380,62285,62.285,9.1,2225,41020,0.451,0.6585857,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
6,41429,11/13/22,SAL_Std_01,A,6,0.567,N2,2,0,214.4,76.9,14.2,1497,33352,33.352,9.3,998,22227,0.244,0.6664333,0.0074441,11.916,11.916,0.003722,11.916,,,,,,,,,,,,,,,,,,,,,,,,
6,41429,11/13/22,SAL_Std_01,A,6,0.567,CO2,3,0,362.6,99.3,,,,,,,,,,,,,,,1.0,7493,186106,186.106,0.3,7916,195689,2.153,2.5,10739,0.801,267035,1.0514892,0.0118753,-9.143,-9.143,1.4348554,0.0040182,-0.346,-0.346,0.0110708,-9.789,0.0020046,-0.324
6,41429,11/13/22,SAL_Std_01,A,6,0.567,CO2,4,1,525.2,41.2,,,,,,,,,,,,,,,2.3,5379,99667,99.667,1.7,5705,105766,1.163,4.4,7716,0.429,143057,1.0611914,0.0119849,0,0,1.4353514,0.0040196,0,0,0.0111802,0,0.0020052,0
7,41430,11/13/22,GA1_Std_01,A,7,0.564,N2,1,1,47.4,27,13.5,3376,62264,62.264,9.1,2223,41008,0.451,0.6586052,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
