Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,41571,11/14/22,Dummy,A,1,0.533,N2,1,1,47.4,27,12.7,3342,61650,61.65,8.4,2203,40642,0.447,0.6592322,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,41571,11/14/22,Dummy,A,1,0.533,N2,2,0,215.9,76.3,13.6,1404,31128,31.128,8.9,939,20796,0.229,0.6680929,0.0074553,13.441,13.441,0.0037276,13.441,,,,,,,,,,,,,,,,,,,,,,,,
1,41571,11/14/22,Dummy,A,1,0.533,CO2,3,0,366.4,95.7,,,,,,,,,,,,,,,0.7,6035,148802,148.802,0.0,6429,157917,1.737,2.0,8676,0.643,214173,1.0612619,0.0119861,0.102,0.102,1.4393195,0.0040313,2.927,2.927,0.0111802,0.001,0.0020111,2.93
1,41571,11/14/22,Dummy,A,1,0.533,CO2,4,1,525.2,41.6,,,,,,,,,,,,,,,1.9,5320,98645,98.645,1.4,5642,104677,1.151,3.8,7632,0.425,141567,1.0611533,0.0119849,0,0,1.4351196,0.0040196,0,0,0.0111802,0,0.0020052,0
2,41572,11/14/22,Blank,A,2,0,N2,1,1,47.4,27,13.2,3341,61536,61.536,8.9,2202,40565,0.446,0.6592109,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,41572,11/14/22,Blank,A,2,0,CO2,2,1,525.2,40.3,,,,,,,,,,,,,,,0.7,5319,98457,98.457,0.1,5642,104499,1.149,2.1,7630,0.424,141315,1.0613704,0.0119849,0,0,1.4353082,0.0040196,0,0,0.0111802,0,0.0020052,0
3,41573,11/14/22,GA1_QTY_0.14,A,3,0.146,N2,1,1,47.4,27,13.0,3342,61642,61.642,8.7,2202,40635,0.447,0.659214,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,41573,11/14/22,GA1_QTY_0.14,A,3,0.146,N2,2,0,215.7,66.9,13.7,275,6152,6.152,9.1,181,4037,0.044,0.6561833,0.0073226,-4.598,-4.598,0.0036613,-4.598,,,,,,,,,,,,,,,,,,,,,,,,
3,41573,11/14/22,GA1_QTY_0.14,A,3,0.146,CO2,3,0,369.9,84.2,,,,,,,,,,,,,,,0.7,1653,40117,40.117,0.1,1729,41926,0.461,2.1,2377,0.173,57747,1.045086,0.0118018,-15.272,-15.272,1.4394615,0.0040314,2.938,2.938,0.0109959,-16.481,0.0020112,2.978
3,41573,11/14/22,GA1_QTY_0.14,A,3,0.146,CO2,4,1,525.2,40.8,,,,,,,,,,,,,,,1.1,5318,98557,98.557,0.5,5641,104598,1.151,2.7,7629,0.424,141454,1.0612938,0.0119849,0,0,1.4352452,0.0040196,0,0,0.0111802,0,0.0020052,0
4,41574,11/14/22,GA1_QTY_0.56,A,4,0.554,N2,1,1,47.4,27,13.1,3343,61582,61.582,8.8,2203,40595,0.447,0.6592116,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,41574,11/14/22,GA1_QTY_0.56,A,4,0.554,N2,2,0,215.9,74.8,13.8,1086,24046,24.046,9.1,714,15786,0.174,0.6564776,0.0073259,-4.147,-4.147,0.0036629,-4.147,,,,,,,,,,,,,,,,,,,,,,,,
4,41574,11/14/22,GA1_QTY_0.56,A,4,0.554,CO2,3,0,365.8,96.6,,,,,,,,,,,,,,,0.7,6207,152919,152.919,0.1,6510,159763,1.757,2.1,8930,0.661,220233,1.044752,0.0117991,-15.5,-15.5,1.4401953,0.0040339,3.567,3.567,0.0109929,-16.749,0.0020124,3.608
4,41574,11/14/22,GA1_QTY_0.56,A,4,0.554,CO2,4,1,525.2,40.8,,,,,,,,,,,,,,,1.9,5318,98615,98.615,1.3,5641,104650,1.151,3.9,7629,0.425,141520,1.0612005,0.0119849,0,0,1.4350767,0.0040196,0,0,0.0111802,0,0.0020052,0
5,41575,11/14/22,GA1_QTY_0.70,A,5,0.698,N2,1,1,47.4,27,13.3,3342,61651,61.651,9.0,2203,40642,0.447,0.6592291,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,41575,11/14/22,GA1_QTY_0.70,A,5,0.698,N2,2,0,216.1,76.5,13.9,1373,30225,30.225,9.3,902,19840,0.218,0.6564021,0.0073249,-4.288,-4.288,0.0036624,-4.288,,,,,,,,,,,,,,,,,,,,,,,,
5,41575,11/14/22,GA1_QTY_0.70,A,5,0.698,CO2,3,0,364.3,99.5,,,,,,,,,,,,,,,0.8,7812,192902,192.902,0.2,8201,201518,2.217,2.2,11231,0.833,277656,1.0446673,0.011799,-15.506,-15.506,1.4393648,0.0040316,2.987,2.987,0.0109931,-16.734,0.0020113,3.027
5,41575,11/14/22,GA1_QTY_0.70,A,5,0.698,CO2,4,1,525.2,41,,,,,,,,,,,,,,,2.2,5317,98577,98.577,1.7,5639,104602,1.151,4.3,7628,0.424,141466,1.0611207,0.0119849,0,0,1.4350789,0.0040196,0,0,0.0111802,0,0.0020052,0
