Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,37182,Dummy,E,12,0.455,N2,1,1,47.4,27.2,10.9,3727,68703,68.703,7.1,2453,45227,0.497,0.6582921,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,37182,Dummy,E,12,0.455,N2,2,0,217.4,83.4,11.5,367,10087,10.087,7.5,244,6715,0.074,0.6656703,0.0074389,11.208,11.208,0.0037194,11.208,,,,,,,,,,,,,,,,,,,,,,,,
1,37182,Dummy,E,12,0.455,CO2,3,0,369.3,104.7,,,,,,,,,,,,,,,-0.2,2284,65933,65.933,-0.4,2420,69804,0.768,0.7,3272,0.284,94533,1.0586984,0.011982,-0.242,-0.242,1.4337668,0.0040072,-3.071,-3.071,0.0111786,-0.145,0.001999,-3.074
1,37182,Dummy,E,12,0.455,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,0.5,5223,96699,96.699,0.4,5529,102400,1.126,1.8,7509,0.417,139071,1.0589543,0.0119849,0,0,1.4381834,0.0040196,0,0,0.0111802,0,0.0020052,0
2,37183,Blank,F,1,0,N2,1,1,47.4,27,11.6,3730,68707,68.707,7.7,2454,45228,0.498,0.6582712,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,37183,Blank,F,1,0,CO2,2,1,525.2,40.3,,,,,,,,,,,,,,,-0.1,5221,96735,96.735,-0.4,5526,102450,1.127,0.7,7506,0.417,139128,1.059072,0.0119849,0,0,1.4382357,0.0040196,0,0,0.0111802,0,0.0020052,0
3,37184,GA1_QTY_0.14,F,2,0.13,N2,1,1,47.4,27.2,11.6,3726,68728,68.728,7.6,2453,45247,0.498,0.6583404,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,37184,GA1_QTY_0.14,F,2,0.13,N2,2,0,217.4,78,12.1,204,5595,5.595,8.0,134,3668,0.04,0.6556084,0.0073259,-4.15,-4.15,0.0036629,-4.15,,,,,,,,,,,,,,,,,,,,,,,,
3,37184,GA1_QTY_0.14,F,2,0.13,CO2,3,0,370.3,98.4,,,,,,,,,,,,,,,-0.1,1209,34690,34.69,-0.4,1261,36170,0.398,0.8,1733,0.149,49770,1.0426703,0.0117997,-15.453,-15.453,1.4347256,0.0040099,-2.391,-2.391,0.010996,-16.478,0.0020005,-2.356
3,37184,GA1_QTY_0.14,F,2,0.13,CO2,4,1,525.4,39.9,,,,,,,,,,,,,,,0.3,5222,96797,96.797,0.1,5528,102512,1.128,1.4,7508,0.418,139210,1.0590355,0.0119849,0,0,1.4381637,0.0040196,0,0,0.0111802,0,0.0020052,0
4,37185,GA1_QTY_0.56,F,3,0.584,N2,1,1,47.4,27.4,11.8,3728,68794,68.794,7.8,2454,45289,0.498,0.6583262,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,37185,GA1_QTY_0.56,F,3,0.584,N2,2,0,217.4,91.3,12.3,944,25406,25.406,8.1,619,16660,0.183,0.655743,0.0073275,-3.924,-3.924,0.0036638,-3.924,,,,,,,,,,,,,,,,,,,,,,,,
4,37185,GA1_QTY_0.56,F,3,0.584,CO2,3,0,366,114.5,,,,,,,,,,,,,,,-0.1,5567,159591,159.591,-0.3,5815,166313,1.829,1.0,7949,0.684,228052,1.0421209,0.0117943,-15.895,-15.895,1.4289788,0.0039944,-6.255,-6.255,0.0109923,-16.808,0.0019927,-6.224
