Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,42035,12/06/22,Dummy,A,1,0.457,N2,1,1,47.4,27,15.5,3280,60440,60.44,10.4,2161,39841,0.438,0.6591795,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,42035,12/06/22,Dummy,A,1,0.457,N2,2,0,216.1,74.4,16.2,1223,26918,26.918,10.9,818,17992,0.198,0.6684076,0.0074594,13.999,13.999,0.0037297,13.999,,,,,,,,,,,,,,,,,,,,,,,,
1,42035,12/06/22,Dummy,A,1,0.457,CO2,3,0,369.1,95.1,,,,,,,,,,,,,,,1.8,5254,128655,128.655,1.3,5563,135766,1.493,3.7,7528,0.554,184658,1.0552742,0.0119109,-6.169,-6.169,1.4352969,0.0040218,0.559,0.559,0.011106,-6.634,0.0020064,0.574
1,42035,12/06/22,Dummy,A,1,0.457,CO2,4,1,525.2,41.8,,,,,,,,,,,,,,,4.1,5249,97248,97.248,3.7,5571,103260,1.136,7.0,7527,0.419,139502,1.0618246,0.0119849,0,0,1.4344955,0.0040196,0,0,0.0111802,0,0.0020052,0
2,42036,12/06/22,Blank,A,2,0,N2,1,1,47.4,27,16.4,3278,60365,60.365,11.3,2160,39791,0.438,0.6591728,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,42036,12/06/22,Blank,A,2,0,CO2,2,1,525.2,41,,,,,,,,,,,,,,,2.2,5249,97091,97.091,1.7,5571,103113,1.134,4.3,7527,0.418,139286,1.0620227,0.0119849,0,0,1.4345884,0.0040196,0,0,0.0111802,0,0.0020052,0
3,42037,12/06/22,GA1_QTY_0.14,A,3,0.139,N2,1,1,47.4,27,16.1,3279,60435,60.435,11.0,2161,39836,0.438,0.659161,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,42037,12/06/22,GA1_QTY_0.14,A,3,0.139,N2,2,0,216.1,65.6,16.6,250,5625,5.625,11.2,164,3693,0.041,0.6564462,0.0073261,-4.119,-4.119,0.0036631,-4.119,,,,,,,,,,,,,,,,,,,,,,,,
3,42037,12/06/22,GA1_QTY_0.14,A,3,0.139,CO2,3,0,372.9,84.9,,,,,,,,,,,,,,,1.9,1516,37171,37.171,1.4,1586,38864,0.428,3.8,2177,0.16,53460,1.0455477,0.0118001,-15.415,-15.415,1.4382232,0.0040297,2.53,2.53,0.0109944,-16.62,0.0020104,2.57
3,42037,12/06/22,GA1_QTY_0.14,A,3,0.139,CO2,4,1,525.2,41.2,,,,,,,,,,,,,,,3.0,5251,97280,97.28,2.6,5573,103303,1.136,5.5,7529,0.419,139557,1.061917,0.0119849,0,0,1.4345944,0.0040196,0,0,0.0111802,0,0.0020052,0
4,42038,12/06/22,GA1_QTY_0.56,A,4,0.593,N2,1,1,47.4,27,16.3,3280,60458,60.458,11.3,2161,39852,0.438,0.6591621,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,42038,12/06/22,GA1_QTY_0.56,A,4,0.593,N2,2,0,216.3,74.2,16.7,1152,25404,25.404,11.3,757,16679,0.183,0.6565606,0.0073274,-3.947,-3.947,0.0036637,-3.947,,,,,,,,,,,,,,,,,,,,,,,,
4,42038,12/06/22,GA1_QTY_0.56,A,4,0.593,CO2,3,0,368,98.6,,,,,,,,,,,,,,,1.9,6610,163120,163.12,1.4,6937,170475,1.875,3.9,9474,0.703,234179,1.0450922,0.011796,-15.756,-15.756,1.435624,0.004023,0.856,0.856,0.010991,-16.923,0.002007,0.895
4,42038,12/06/22,GA1_QTY_0.56,A,4,0.593,CO2,4,1,525.2,42.6,,,,,,,,,,,,,,,4.6,5248,97273,97.273,4.3,5569,103287,1.136,7.9,7525,0.419,139529,1.0618224,0.0119849,0,0,1.4343961,0.0040196,0,0,0.0111802,0,0.0020052,0
5,42039,12/06/22,GA1_QTY_0.70,A,5,0.702,N2,1,1,47.4,27,16.7,3278,60391,60.391,11.6,2160,39807,0.438,0.6591569,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
