Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,41937,12/05/22,Dummy,A,1,0.449,N2,1,1,47.4,26.8,21.6,3257,59951,59.951,16.1,2145,39507,0.435,0.6589932,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,41937,12/05/22,Dummy,A,1,0.449,N2,2,0,214.6,72.5,21.8,673,15136,15.136,16.1,449,10093,0.111,0.6668267,0.0074438,11.887,11.887,0.0037219,11.887,,,,,,,,,,,,,,,,,,,,,,,,
1,41937,12/05/22,Dummy,A,1,0.449,CO2,3,0,370.1,111.2,,,,,,,,,,,,,,,13.7,4186,104492,104.492,13.8,4455,110882,1.22,20.9,6002,0.45,150042,1.0611483,0.0119702,-1.223,-1.223,1.4359171,0.0040214,0.458,0.458,0.0111653,-1.329,0.0020061,0.462
1,41937,12/05/22,Dummy,A,1,0.449,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,18.6,5214,96575,96.575,18.9,5538,102605,1.129,28.0,7483,0.416,138610,1.0624481,0.0119849,0,0,1.4352596,0.0040196,0,0,0.0111802,0,0.0020052,0
2,41938,12/05/22,Blank,A,2,0,N2,1,1,47.4,26.8,21.6,3253,59877,59.877,16.1,2143,39456,0.434,0.6589518,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,41938,12/05/22,Blank,A,2,0,CO2,2,0,374.7,78.4,,,,,,,,,,,,,,,13.1,51,1712,1.712,13.2,53,1797,0.02,20.0,73,0.007,2466,1.0491554,0.011835,-12.507,-12.507,1.4402757,0.0040335,3.46,3.46,0.0110289,-13.537,0.0020122,3.494
2,41938,12/05/22,Blank,A,2,0,CO2,3,1,525.2,42.6,,,,,,,,,,,,,,,15.0,5219,96569,96.569,15.2,5542,102599,1.129,22.7,7489,0.416,138607,1.0624435,0.0119849,0,0,1.4353093,0.0040196,0,0,0.0111802,0,0.0020052,0
3,41939,12/05/22,GA1_QTY_0.14,A,3,0.15,N2,1,1,47.4,27,20.9,3255,59914,59.914,15.5,2144,39476,0.434,0.6588773,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,41939,12/05/22,GA1_QTY_0.14,A,3,0.15,N2,2,0,215.1,67.1,21.1,290,6605,6.605,15.5,190,4340,0.048,0.6570568,0.0073361,-2.763,-2.763,0.003668,-2.763,,,,,,,,,,,,,,,,,,,,,,,,
3,41939,12/05/22,GA1_QTY_0.14,A,3,0.15,CO2,3,0,372.6,98.4,,,,,,,,,,,,,,,12.1,1673,41969,41.969,12.1,1752,43906,0.483,18.5,2402,0.181,60326,1.046157,0.0118025,-15.213,-15.213,1.4374072,0.0040258,1.56,1.56,0.0109972,-16.367,0.0020084,1.598
