Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,36985,Dummy,A,9,0.46,N2,1,1,47.4,27.2,10.9,3807,70130,70.13,6.9,2507,46201,0.508,0.6587917,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,36985,Dummy,A,9,0.46,N2,2,0,219.5,123.3,11.5,864,26794,26.794,7.3,576,17861,0.196,0.6666126,0.0074437,11.872,11.872,0.0037219,11.872,,,,,,,,,,,,,,,,,,,,,,,,
1,36985,Dummy,A,9,0.46,CO2,3,0,374.3,166.2,,,,,,,,,,,,,,,-0.3,4497,147528,147.528,-0.5,4736,155111,1.706,0.4,6396,0.63,209976,1.051402,0.0118732,-9.316,-9.316,1.423302,0.0039811,-9.566,-9.566,0.0110725,-9.631,0.001986,-9.554
1,36985,Dummy,A,9,0.46,CO2,4,1,525.4,42.8,,,,,,,,,,,,,,,-0.3,5316,98654,98.654,-0.5,5639,104701,1.152,0.4,7637,0.425,141771,1.0612891,0.0119849,0,0,1.437048,0.0040196,0,0,0.0111802,0,0.0020052,0
2,36986,Blank,A,10,0,N2,1,1,47.4,27.2,11.9,3803,70079,70.079,7.9,2505,46177,0.508,0.6589289,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,36986,Blank,A,10,0,CO2,2,1,525.2,39.5,,,,,,,,,,,,,,,-0.2,5304,98074,98.074,-0.4,5621,104003,1.144,0.5,7623,0.423,141013,1.0604496,0.0119849,0,0,1.4378159,0.0040196,0,0,0.0111802,0,0.0020052,0
4,36987,GA1_QTY_0.56,A,12,0.593,N2,1,1,47.4,27.2,11.5,3801,70028,70.028,7.5,2503,46136,0.507,0.6588249,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,36987,GA1_QTY_0.56,A,12,0.593,N2,2,0,219.2,127.7,12.0,813,25640,25.64,7.8,534,16818,0.185,0.6559349,0.0073241,-4.387,-4.387,0.0036621,-4.387,,,,,,,,,,,,,,,,,,,,,,,,
4,36987,GA1_QTY_0.56,A,12,0.593,CO2,3,0,374.3,165.7,,,,,,,,,,,,,,,-0.2,4810,160927,160.927,-0.5,5027,167875,1.847,0.6,6844,0.687,229127,1.0431744,0.0117954,-15.804,-15.804,1.4237958,0.0039808,-9.639,-9.639,0.0109948,-16.584,0.0019859,-9.612
4,36987,GA1_QTY_0.56,A,12,0.593,CO2,4,1,525.4,42.8,,,,,,,,,,,,,,,-0.2,5323,99044,99.044,-0.5,5640,104979,1.155,0.6,7650,0.427,142390,1.0599254,0.0119849,0,0,1.4376527,0.0040196,0,0,0.0111802,0,0.0020052,0
5,36989,GA1_QTY_0.70,B,1,0.693,N2,1,1,47.4,27.2,11.7,3812,70244,70.244,7.6,2511,46268,0.509,0.6586709,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,36989,GA1_QTY_0.70,B,1,0.693,N2,2,0,219.9,127.7,12.1,936,30118,30.118,7.8,614,19756,0.217,0.6559437,0.0073259,-4.141,-4.141,0.003663,-4.141,,,,,,,,,,,,,,,,,,,,,,,,
5,36989,GA1_QTY_0.70,B,1,0.693,CO2,3,0,374.5,165.5,,,,,,,,,,,,,,,-0.2,5537,189604,189.604,-0.4,5786,197756,2.175,0.8,7876,0.81,269908,1.0429946,0.0117957,-15.78,-15.78,1.4235347,0.0039802,-9.784,-9.784,0.0109951,-16.553,0.0019856,-9.758
5,36989,GA1_QTY_0.70,B,1,0.693,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,-0.2,5336,99445,99.445,-0.4,5653,105383,1.159,0.8,7669,0.429,142962,1.0597169,0.0119849,0,0,1.4376001,0.0040196,0,0,0.0111802,0,0.0020052,0
6,36990,GA1_Std_01,B,2,0.573,N2,1,1,47.4,27.2,12.4,3804,70127,70.127,8.4,2505,46192,0.508,0.6586916,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
