Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,41986,12/6/22,Dummy,A,1,0.427,N2,1,1,47.4,27,16.3,3307,60949,60.949,10.6,2178,40153,0.442,0.6588018,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,41986,12/6/22,Dummy,A,1,0.427,N2,2,0,215.7,76.5,15.8,1132,25301,25.301,10.4,758,16945,0.186,0.6697168,0.0074783,16.568,16.568,0.0037391,16.568,,,,,,,,,,,,,,,,,,,,,,,,
1,41986,12/6/22,Dummy,A,1,0.427,CO2,3,0,368.9,97.8,,,,,,,,,,,,,,,1.7,5180,128283,128.283,1.2,5491,135537,1.491,3.5,7391,0.55,183366,1.0565423,0.0119272,-4.811,-4.811,1.4293871,0.0040011,-4.586,-4.586,0.0111244,-4.987,0.001996,-4.58
1,41986,12/6/22,Dummy,A,1,0.427,CO2,4,1,525.2,42.6,,,,,,,,,,,,,,,4.4,5272,97021,97.021,4,5595,103002,1.133,7.3,7569,0.418,139319,1.0616497,0.0119849,0,0,1.4359723,0.0040196,0,0,0.0111802,0,0.0020052,0
2,41987,12/6/22,Blank,A,2,0,N2,1,1,47.4,27,15.9,3304,60874,60.874,10.8,2176,40104,0.441,0.6588081,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,41987,12/6/22,Blank,A,2,0,CO2,2,1,525.2,41.8,,,,,,,,,,,,,,,2.5,5271,97294,97.294,2,5593,103306,1.136,4.5,7565,0.419,139707,1.0617951,0.0119849,0,0,1.435932,0.0040196,0,0,0.0111802,0,0.0020052,0
3,41988,12/6/22,GA1_QTY_0.14,A,3,0.139,N2,1,1,47.4,27,15.8,3304,60861,60.861,10.6,2176,40096,0.441,0.6588103,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,41988,12/6/22,GA1_QTY_0.14,A,3,0.139,N2,2,0,215.3,65.4,16.3,260,5828,5.828,10.8,171,3824,0.042,0.6562196,0.0073275,-3.932,-3.932,0.0036637,-3.932,,,,,,,,,,,,,,,,,,,,,,,,
3,41988,12/6/22,GA1_QTY_0.14,A,3,0.139,CO2,3,0,372,85.9,,,,,,,,,,,,,,,2,1547,37913,37.913,1.5,1619,39633,0.436,3.9,2215,0.163,54342,1.0453604,0.0118006,-15.371,-15.371,1.4333291,0.0040128,-1.693,-1.693,0.0109967,-16.415,0.0020019,-1.658
3,41988,12/6/22,GA1_QTY_0.14,A,3,0.139,CO2,4,1,525.2,41,,,,,,,,,,,,,,,3.2,5274,97518,97.518,2.7,5596,103532,1.139,5.6,7569,0.42,140012,1.061679,0.0119849,0,0,1.43576,0.0040196,0,0,0.0111802,0,0.0020052,0
4,41989,12/6/22,GA1_QTY_0.56,A,4,0.54,N2,1,1,47.4,27,16.1,3304,60824,60.824,11,2176,40075,0.441,0.6588635,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,41989,12/6/22,GA1_QTY_0.56,A,4,0.54,N2,2,0,215.3,73.8,16.5,1046,23291,23.291,11,687,15285,0.168,0.6562675,0.0073274,-3.94,-3.94,0.0036637,-3.94,,,,,,,,,,,,,,,,,,,,,,,,
4,41989,12/6/22,GA1_QTY_0.56,A,4,0.54,CO2,3,0,367.6,99.1,,,,,,,,,,,,,,,2,6001,148984,148.984,1.5,6294,155672,1.712,4,8572,0.64,213186,1.0448916,0.0117965,-15.716,-15.716,1.4309349,0.0040065,-3.236,-3.236,0.0109932,-16.728,0.0019988,-3.202
4,41989,12/6/22,GA1_QTY_0.56,A,4,0.54,CO2,4,1,525.2,42.4,,,,,,,,,,,,,,,4.5,5275,97740,97.74,4.1,5598,103758,1.141,7.5,7571,0.421,140314,1.0615748,0.0119849,0,0,1.4355808,0.0040196,0,0,0.0111802,0,0.0020052,0
5,41990,12/6/22,GA1_QTY_0.70,A,5,0.717,N2,1,1,47.4,27,16.5,3302,60842,60.842,11.3,2173,40035,0.44,0.6580115,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,41990,12/6/22,GA1_QTY_0.70,A,5,0.717,N2,2,0,215.3,75.4,16.8,1412,31055,31.055,11.3,926,20352,0.224,0.6553591,0.0073267,-4.031,-4.031,0.0036634,-4.031,,,,,,,,,,,,,,,,,,,,,,,,
5,41990,12/6/22,GA1_QTY_0.70,A,5,0.717,CO2,3,0,365.8,102,,,,,,,,,,,,,,,2.2,7982,198113,198.113,1.7,8384,206997,2.277,4.2,11404,0.851,283518,1.0448463,0.0117966,-15.705,-15.705,1.4310942,0.0040075,-2.988,-2.988,0.0109932,-16.726,0.0019993,-2.954
5,41990,12/6/22,GA1_QTY_0.70,A,5,0.717,CO2,4,1,525.2,42.6,,,,,,,,,,,,,,,4.9,5272,97663,97.663,4.6,5594,103671,1.14,8.2,7565,0.421,140184,1.0615179,0.0119849,0,0,1.4353838,0.0040196,0,0,0.0111802,0,0.0020052,0
6,41991,12/6/22,SAL_Std_01,A,6,0.614,N2,1,1,47.4,27,16.6,3298,60725,60.725,11.4,2172,40015,0.44,0.6589505,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
6,41991,12/6/22,SAL_Std_01,A,6,0.614,N2,2,0,215.3,76.7,16.9,1589,35096,35.096,11.4,1060,23401,0.257,0.6667783,0.0074438,11.879,11.879,0.0037219,11.879,,,,,,,,,,,,,,,,,,,,,,,,
6,41991,12/6/22,SAL_Std_01,A,6,0.614,CO2,3,0,365.8,102.6,,,,,,,,,,,,,,,2.3,7938,197584,197.584,1.8,8392,207797,2.286,4.4,11339,0.848,282617,1.0516931,0.0118743,-9.225,-9.225,1.4303642,0.0040058,-3.427,-3.427,0.0110711,-9.763,0.0019984,-3.409
6,41991,12/6/22,SAL_Std_01,A,6,0.614,CO2,4,1,525.2,42.4,,,,,,,,,,,,,,,4.9,5271,97673,97.673,4.6,5592,103678,1.14,8.2,7563,0.421,140188,1.0614857,0.0119849,0,0,1.4352835,0.0040196,0,0,0.0111802,0,0.0020052,0
7,41992,12/6/22,GA1_Std_01,A,7,0.519,N2,1,1,47.4,27,16.7,3299,60802,60.802,11.5,2171,40017,0.44,0.6581438,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
7,41992,12/6/22,GA1_Std_01,A,7,0.519,N2,2,0,215.3,73.4,17,1006,22337,22.337,11.5,660,14640,0.161,0.6554319,0.0073261,-4.121,-4.121,0.003663,-4.121,,,,,,,,,,,,,,,,,,,,,,,,
7,41992,12/6/22,GA1_Std_01,A,7,0.519,CO2,3,0,367.8,98.2,,,,,,,,,,,,,,,2.3,5786,143132,143.132,1.8,6067,149553,1.645,4.4,8265,0.614,204785,1.0448614,0.0117969,-15.679,-15.679,1.43074,0.0040069,-3.137,-3.137,0.0109936,-16.692,0.001999,-3.103
7,41992,12/6/22,GA1_Std_01,A,7,0.519,CO2,4,1,525.2,42.6,,,,,,,,,,,,,,,4.4,5270,97687,97.687,4,5592,103695,1.141,7.5,7561,0.421,140205,1.0615043,0.0119849,0,0,1.4352428,0.0040196,0,0,0.0111802,0,0.0020052,0
8,41993,12/6/22,GA2_Std_01,A,8,0.527,N2,1,1,47.4,27,16.6,3297,60772,60.772,11.4,2170,39997,0.44,0.658146,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
