Sources,d15N,d13C
eelgrass habitat,12.0305454545455,-9.9029492579641
eelgrass habitat,12.0341818181818,-9.62734681792001
eelgrass habitat,12.1501818181818,-9.44320955573493
eelgrass habitat,11.8601818181818,-9.75746048683038
eelgrass habitat,11.6321818181818,-10.3477246536001
eelgrass habitat,11.9411818181818,-9.94842249399483
eelgrass habitat,11.7351818181818,-10.0627527208041
eelgrass habitat,11.7181818181818,-10.0760652843684
eelgrass habitat,11.7641818181818,-9.6532612484555
eelgrass habitat,11.5161818181818,-9.34482692145862
eelgrass habitat,11.5691818181818,-10.4958313807142
eelgrass habitat,11.3321818181818,-10.1663947890572
eelgrass habitat,11.4461818181818,-10.0713247918566
eelgrass habitat,11.2871818181818,-11.085871143992
eelgrass habitat,11.7331818181818,-9.96054575536817
eelgrass habitat,11.5201818181818,-10.6154777213843
eelgrass habitat,10.0082727272727,-11.8555389781317
eelgrass habitat,9.39527272727273,-14.0105065953872
eelgrass habitat,10.1362727272727,-12.8625231429433
eelgrass habitat,9.41227272727273,-13.2622566966916
eelgrass habitat,9.583090909,-13.94207977
eelgrass habitat,9.07854545454546,-9.053766380153
eelgrass habitat,10.6125454545455,-8.34840187038169
eelgrass habitat,9.50654545454545,-13.9980610636611
eelgrass habitat,9.36654545454546,-10.0000593270157
eelgrass habitat,10.9905454545455,-9.5537452051307
eelgrass habitat,10.3625454545455,-8.74970877894503
eelgrass habitat,10.6575454545455,-9.59104578318756
eelgrass habitat,10.1015454545455,-9.09704204716432
eelgrass habitat,9.72254545454546,-10.2351655442882
eelgrass habitat,11.1805454545455,-9.58233846846255
eelgrass habitat,9.56954545454546,-9.81391477871464
eelgrass habitat,9.26454545454546,-11.6708769713756
eelgrass habitat,10.0525454545455,-8.02514355206407
eelgrass habitat,9.75754545454546,-9.67310933944914
eelgrass habitat,11.1105454545455,-9.12625818434728
eelgrass habitat,9.60554545454545,-9.66499278225433
eelgrass habitat,8.42563636363636,-11.7071854556453
eelgrass habitat,8.64463636363636,-10.9780818293878
eelgrass habitat,9.30763636363636,-11.0241231447621
eelgrass habitat,8.63463636363636,-11.0469670333999
eelgrass habitat,8.69663636363636,-9.96106495036399
eelgrass habitat,8.41763636363636,-11.2564559236917
eelgrass habitat,8.68363636363636,-10.6519199249226
eelgrass habitat,9.29963636363636,-10.0212686499722
eelgrass habitat,8.25663636363636,-11.3203878018069
eelgrass habitat,8.94463636363636,-11.8413428194901
eelgrass habitat,10.7636363636364,-9.52609840690826
eelgrass habitat,11.1946363636364,-9.43808492548844
eelgrass habitat,11.0986363636364,-9.66212188651562
eelgrass habitat,11.3396363636364,-10.0301206890484
eelgrass habitat,10.2616363636364,-10.4243753167674
farm habitat,11.2881818181818,-10.159087502963
farm habitat,10.7381818181818,-9.84096344196428
farm habitat,9.92418181818182,-13.4066245049692
farm habitat,11.4321818181818,-11.065712953462
farm habitat,11.1421818181818,-10.1985486410972
farm habitat,10.5801818181818,-11.2516451932218
farm habitat,10.7471818181818,-10.3273613497368
farm habitat,10.6161818181818,-10.5056713700974
farm habitat,11.2791818181818,-11.691890723975
farm habitat,10.9572727272727,-11.5659649964681
farm habitat,10.6452727272727,-12.4451785898458
farm habitat,10.7682727272727,-11.7961169480619
farm habitat,10.6792727272727,-12.0626873514795
farm habitat,10.7052727272727,-12.0040234428104
farm habitat,11.1812727272727,-12.2495394384947
farm habitat,10.6822727272727,-11.2960642999477
farm habitat,10.2836363636364,-14.6993357760234
farm habitat,10.3206363636364,-14.9351647812894
farm habitat,10.1016363636364,-14.4876254250276
farm habitat,10.0536363636364,-16.203478911763
farm habitat,10.6836363636364,-15.61019442656
farm habitat,11.0605454545455,-11.9715522379792
farm habitat,10.9425454545455,-13.2580806086779
farm habitat,10.7905454545455,-10.3690413043231
farm habitat,11.2105454545455,-13.3258223346056
farm habitat,9.07354545454545,-11.1294971338098
farm habitat,11.0175454545455,-12.4386847216797
farm habitat,10.5485454545455,-11.454331974911
farm habitat,10.5065454545455,-12.4680443612803
farm habitat,10.7915454545455,-13.2019570598517
farm habitat,9.53054545454546,-12.2601894491137
farm habitat,10.7705454545455,-12.819727539019
farm habitat,10.4275454545455,-13.5893022864054
farm habitat,10.2345454545455,-15.1369843821067
farm habitat,9.04054545454546,-11.0905190837239
farm habitat,10.3985454545455,-12.9835027612199
farm habitat,10.2105454545455,-12.0547798434025
farm habitat,10.8315454545455,-12.5694035978125
farm habitat,8.99518181818182,-13.3758377065116
farm habitat,9.16718181818182,-12.6483468660668
farm habitat,9.73763636363636,-15.6395436216412
farm habitat,9.14163636363636,-14.485804540992
farm habitat,9.49463636363636,-13.271709774355
farm habitat,8.73963636363636,-14.1135016606379
farm habitat,8.98563636363636,-14.6886469770572
farm habitat,8.69763636363636,-14.5893593611611
