Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,42283,12/09/22,Dummy,A,1,0.368,N2,1,1,47.7,27,14.1,3181,58594,58.594,9.3,2097,38624,0.425,0.6591804,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,42283,12/09/22,Dummy,A,1,0.368,N2,2,0,212.1,72.9,14.9,1084,23697,23.697,9.8,724,15832,0.174,0.6680888,0.0074558,13.514,13.514,0.0037279,13.514,,,,,,,,,,,,,,,,,,,,,,,,
1,42283,12/09/22,Dummy,A,1,0.368,CO2,3,0,363.2,92.2,,,,,,,,,,,,,,,0.8,4731,114697,114.697,0.2,5021,121427,1.336,2.2,6808,0.496,165313,1.058677,0.011952,-2.739,-2.739,1.4412965,0.0040369,4.315,4.315,0.0111456,-3.096,0.0020139,4.327
1,42283,12/09/22,Dummy,A,1,0.368,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,2.0,5086,94048,94.048,1.6,5396,99840,1.098,4.1,7296,0.405,134968,1.0615844,0.0119849,0,0,1.4351035,0.0040196,0,0,0.0111802,0,0.0020052,0
2,42284,12/09/22,Blank,A,2,0,N2,1,1,47.7,27,15.0,3181,58575,58.575,10.1,2095,38576,0.424,0.6585842,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,42284,12/09/22,Blank,A,2,0,CO2,2,1,525.4,41.2,,,,,,,,,,,,,,,1.0,5081,93946,93.946,0.4,5391,99747,1.097,2.5,7289,0.405,134836,1.0617575,0.0119849,0,0,1.4352608,0.0040196,0,0,0.0111802,0,0.0020052,0
3,42285,12/09/22,GA1_QTY_0.14,A,3,0.152,N2,1,1,47.7,27,14.9,3179,58555,58.555,10.0,2095,38597,0.425,0.6591586,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,42285,12/09/22,GA1_QTY_0.14,A,3,0.152,N2,2,0,212.3,64.8,15.5,287,6327,6.327,10.3,189,4154,0.046,0.656487,0.0073266,-4.053,-4.053,0.0036633,-4.053,,,,,,,,,,,,,,,,,,,,,,,,
3,42285,12/09/22,GA1_QTY_0.14,A,3,0.152,CO2,3,0,366.6,83.6,,,,,,,,,,,,,,,0.9,1755,42169,42.169,0.4,1835,44074,0.485,2.3,2528,0.183,60838,1.0451694,0.0117983,-15.568,-15.568,1.4427305,0.0040409,5.298,5.298,0.0109914,-16.887,0.0020159,5.342
3,42285,12/09/22,GA1_QTY_0.14,A,3,0.152,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,1.5,5080,94005,94.005,1.0,5391,99805,1.098,3.3,7287,0.405,134909,1.0616984,0.0119849,0,0,1.4351272,0.0040196,0,0,0.0111802,0,0.0020052,0
4,42286,12/09/22,GA1_QTY_0.56,A,4,0.557,N2,1,1,47.7,27.2,15.1,3181,58584,58.584,10.2,2094,38581,0.424,0.6585588,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,42286,12/09/22,GA1_QTY_0.56,A,4,0.557,N2,2,0,212.3,72.5,15.7,1075,23355,23.355,10.4,705,15319,0.169,0.6559235,0.007327,-4.002,-4.002,0.0036635,-4.002,,,,,,,,,,,,,,,,,,,,,,,,
4,42286,12/09/22,GA1_QTY_0.56,A,4,0.557,CO2,3,0,362.2,94.7,,,,,,,,,,,,,,,0.9,6163,149671,149.671,0.4,6465,156425,1.721,2.4,8871,0.647,215719,1.04513,0.0117988,-15.528,-15.528,1.4412904,0.0040372,4.401,4.401,0.0109923,-16.81,0.0020141,4.443
4,42286,12/09/22,GA1_QTY_0.56,A,4,0.557,CO2,4,1,525.6,41.4,,,,,,,,,,,,,,,2.4,5078,94054,94.054,1.9,5390,99849,1.098,4.6,7287,0.405,134965,1.0616144,0.0119849,0,0,1.4349752,0.0040196,0,0,0.0111802,0,0.0020052,0
5,42287,12/09/22,GA1_QTY_0.70,A,5,0.683,N2,1,1,47.7,27,15.3,3175,58535,58.535,10.4,2092,38585,0.424,0.6591703,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,42287,12/09/22,GA1_QTY_0.70,A,5,0.683,N2,2,0,212.6,73.8,15.8,1327,28805,28.805,10.6,872,18910,0.208,0.6564959,0.0073266,-4.057,-4.057,0.0036633,-4.057,,,,,,,,,,,,,,,,,,,,,,,,
5,42287,12/09/22,GA1_QTY_0.70,A,5,0.683,CO2,3,0,360.9,96.3,,,,,,,,,,,,,,,1.0,7549,184499,184.499,0.5,7926,192804,2.121,2.6,10852,0.797,265507,1.0450153,0.0117981,-15.584,-15.584,1.4390754,0.0040312,2.904,2.904,0.0109922,-16.815,0.0020111,2.945
5,42287,12/09/22,GA1_QTY_0.70,A,5,0.683,CO2,4,1,525.4,41.6,,,,,,,,,,,,,,,2.6,5075,94051,94.051,2.2,5387,99841,1.098,5.0,7281,0.405,134955,1.0615586,0.0119849,0,0,1.4349085,0.0040196,0,0,0.0111802,0,0.0020052,0
