Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,40573,Dummy,A,1,0.472,N2,1,1,47.7,27,11.2,3280,60448,60.448,6.8,2162,39842,0.438,0.6591116,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,40573,Dummy,A,1,0.472,N2,2,0,213.6,82.1,12.1,1255,28478,28.478,7.4,840,19027,0.209,0.6681381,0.0074571,13.695,13.695,0.0037286,13.695,,,,,,,,,,,,,,,,,,,,,,,,
1,40573,Dummy,A,1,0.472,CO2,3,0,354.3,115.8,,,,,,,,,,,,,,,-0.0,5271,131027,131.027,0.4,5607,138913,1.528,1.1,7643,0.571,190177,1.0601852,0.0119603,-2.047,-2.047,1.451427,0.0040615,10.425,10.425,0.0111513,-2.582,0.0020261,10.442
1,40573,Dummy,A,1,0.472,CO2,4,1,525.4,39.9,,,,,,,,,,,,,,,1.6,5198,95388,95.388,1.1,5520,101337,1.115,3.3,7465,0.411,137021,1.0623604,0.0119849,0,0,1.4364516,0.0040196,0,0,0.0111802,0,0.0020052,0
2,40574,Blank,A,2,0,N2,1,1,47.7,27.2,12.0,3278,60617,60.617,7.5,2160,39952,0.439,0.659093,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,40574,Blank,A,2,0,CO2,2,1,525.4,40.1,,,,,,,,,,,,,,,0.4,5199,96289,96.289,-0.2,5521,102300,1.125,1.5,7465,0.415,138312,1.062432,0.0119849,0,0,1.4364319,0.0040196,0,0,0.0111802,0,0.0020052,0
3,40577,GA1_QTY_0.14,A,3,0.171,N2,1,1,47.7,27,11.9,3282,60425,60.425,7.4,2163,39827,0.438,0.6591133,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,40577,GA1_QTY_0.14,A,3,0.171,N2,2,0,213,70,12.6,316,7185,7.185,7.9,207,4719,0.052,0.6566897,0.0073294,-3.677,-3.677,0.0036647,-3.677,,,,,,,,,,,,,,,,,,,,,,,,
3,40577,GA1_QTY_0.14,A,3,0.171,CO2,3,0,357,99.3,,,,,,,,,,,,,,,-0.0,1877,46321,46.321,0.7,1964,48329,0.532,1.5,2719,0.201,67149,1.0433488,0.01177,-17.924,-17.924,1.4496508,0.0040574,9.419,9.419,0.0109615,-19.565,0.0020242,9.473
3,40577,GA1_QTY_0.14,A,3,0.171,CO2,4,1,525.4,40.1,,,,,,,,,,,,,,,1.0,5204,96462,96.462,0.4,5526,102480,1.127,2.5,7471,0.416,138531,1.062391,0.0119849,0,0,1.4361242,0.0040196,0,0,0.0111802,0,0.0020052,0
4,40578,GA1_QTY_0.56,A,4,0.597,N2,1,1,47.4,27,12.0,3280,60222,60.222,7.5,2162,39695,0.437,0.6591502,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,40578,GA1_QTY_0.56,A,4,0.597,N2,2,0,213.4,81.1,12.8,1137,25491,25.491,8.0,747,16734,0.184,0.6564811,0.0073266,-4.049,-4.049,0.0036633,-4.049,,,,,,,,,,,,,,,,,,,,,,,,
4,40578,GA1_QTY_0.56,A,4,0.597,CO2,3,0,353,120,,,,,,,,,,,,,,,-0.0,6561,162509,162.509,3.6,6883,169491,1.864,2.5,9493,0.706,235226,1.0429638,0.0117671,-18.172,-18.172,1.4474623,0.0040519,8.051,8.051,0.0109591,-19.78,0.0020215,8.104
4,40578,GA1_QTY_0.56,A,4,0.597,CO2,4,1,525.4,40.5,,,,,,,,,,,,,,,2.0,5211,96468,96.468,1.5,5532,102475,1.127,4.0,7479,0.416,138519,1.0622675,0.0119849,0,0,1.4359015,0.0040196,0,0,0.0111802,0,0.0020052,0
5,40579,GA1_QTY_0.70,A,5,0.737,N2,1,1,47.7,27,12.4,3278,60472,60.472,7.9,2160,39854,0.438,0.6590406,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,40579,GA1_QTY_0.70,A,5,0.737,N2,2,0,213.6,82.6,13.1,1420,31489,31.489,8.3,933,20667,0.227,0.656327,0.0073261,-4.117,-4.117,0.0036631,-4.117,,,,,,,,,,,,,,,,,,,,,,,,
5,40579,GA1_QTY_0.70,A,5,0.737,CO2,3,0,352,123.9,,,,,,,,,,,,,,,-0.0,8152,201260,201.26,3.9,8560,209949,2.309,4.0,11764,0.871,290452,1.0431734,0.0117698,-17.943,-17.943,1.4431727,0.0040405,5.211,5.211,0.010963,-19.429,0.0020157,5.26
