Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,41372,11/12/22,Dummy,A,1,0.422,N2,1,1,47.4,27,11.9,3301,60926,60.926,7.6,2172,40093,0.441,0.6580588,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,41372,11/12/22,Dummy,A,1,0.422,N2,2,0,217.4,72.1,12.8,514,11561,11.561,8.2,342,7697,0.085,0.6657807,0.0074427,11.734,11.734,0.0037214,11.734,,,,,,,,,,,,,,,,,,,,,,,,
1,41372,11/12/22,Dummy,A,1,0.422,CO2,3,0,369.1,101.2,,,,,,,,,,,,,,,0.6,3441,85275,85.275,0.0,3653,90374,0.994,2.0,4935,0.367,122461,1.0597883,0.0119652,-1.638,-1.638,1.4360643,0.0040217,0.535,0.535,0.0111603,-1.776,0.0020063,0.539
1,41372,11/12/22,Dummy,A,1,0.422,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,1.9,5253,97303,97.303,1.3,5573,103290,1.136,3.8,7537,0.419,139659,1.0615275,0.0119849,0,0,1.435297,0.0040196,0,0,0.0111802,0,0.0020052,0
2,41373,11/12/22,Blank,A,2,0,N2,1,1,47.7,26.8,12.8,3300,60821,60.821,8.5,2172,40026,0.44,0.6581063,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,41373,11/12/22,Blank,A,2,0,CO2,2,1,525.4,41.2,,,,,,,,,,,,,,,0.9,5251,97215,97.215,0.3,5573,103209,1.135,2.4,7536,0.419,139539,1.0616626,0.0119849,0,0,1.4353656,0.0040196,0,0,0.0111802,0,0.0020052,0
3,41374,11/12/22,GA1_QTY_0.14,A,3,0.147,N2,1,1,47.4,27,12.8,3302,60890,60.89,8.4,2173,40072,0.441,0.6581038,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,41374,11/12/22,GA1_QTY_0.14,A,3,0.147,N2,2,0,217.2,67.3,13.5,266,5986,5.986,8.8,174,3922,0.043,0.6552347,0.0073243,-4.36,-4.36,0.0036622,-4.36,,,,,,,,,,,,,,,,,,,,,,,,
3,41374,11/12/22,GA1_QTY_0.14,A,3,0.147,CO2,3,0,370.1,85.9,,,,,,,,,,,,,,,0.8,1657,40108,40.108,0.2,1734,41924,0.461,2.2,2377,0.173,57602,1.0452933,0.0118012,-15.326,-15.326,1.4361912,0.0040221,0.629,0.629,0.0109962,-16.454,0.0020065,0.666
3,41374,11/12/22,GA1_QTY_0.14,A,3,0.147,CO2,4,1,525.4,41,,,,,,,,,,,,,,,1.5,5256,97406,97.406,0.9,5577,103402,1.137,3.2,7542,0.419,139805,1.0615626,0.0119849,0,0,1.4352888,0.0040196,0,0,0.0111802,0,0.0020052,0
