Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
43,40738,GA1_Std_04,D,7,0.563,N2,2,0,213.8,85.3,13.2,1086,23631,23.631,8.4,713,15513,0.171,0.6564857,0.0073239,-4.417,-4.417,0.003662,-4.417,,,,,,,,,,,,,,,,,,,,,,,,
43,40738,GA1_Std_04,D,7,0.563,CO2,3,0,354.5,139.2,,,,,,,,,,,,,,,-0.0,6350,154400,154.4,3.7,6659,160850,1.769,3.3,9193,0.671,223551,1.0417797,0.0117583,-18.902,-18.902,1.4478733,0.0040546,8.711,8.711,0.01095,-20.587,0.0020228,8.767
43,40738,GA1_Std_04,D,7,0.563,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,4.5,5246,97430,97.43,4.0,5568,103456,1.138,7.7,7528,0.42,139848,1.0618507,0.0119849,0,0,1.4353695,0.0040196,0,0,0.0111802,0,0.0020052,0
44,40741,GA2_Std_04,D,8,0.588,N2,1,1,47.7,27,12.5,3304,60980,60.98,7.8,2176,40174,0.442,0.6588101,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
44,40741,GA2_Std_04,D,8,0.588,N2,2,0,213.4,84,12.5,1133,24812,24.812,7.7,743,16260,0.179,0.6553257,0.0073175,-5.289,-5.289,0.0036587,-5.289,,,,,,,,,,,,,,,,,,,,,,,,
44,40741,GA2_Std_04,D,8,0.588,CO2,3,0,353.6,140.9,,,,,,,,,,,,,,,-0.0,6554,160231,160.231,1.5,6972,169545,1.865,1.8,9493,0.697,232187,1.0581286,0.0119434,-3.462,-3.462,1.449079,0.004057,9.316,9.316,0.0111348,-4.057,0.0020239,9.335
44,40741,GA2_Std_04,D,8,0.588,CO2,4,1,525.4,42,,,,,,,,,,,,,,,4.5,5227,96649,96.649,4.1,5549,102622,1.129,7.6,7504,0.416,138759,1.0618045,0.0119849,0,0,1.4357046,0.0040196,0,0,0.0111802,0,0.0020052,0
45,40742,GA2_QTY_0.14,D,9,0.122,N2,1,1,47.7,26.8,12.5,3292,60323,60.323,8.0,2170,39774,0.438,0.6593445,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
45,40742,GA2_QTY_0.14,D,9,0.122,N2,2,0,213.6,65.6,13.1,222,4904,4.904,8.3,146,3215,0.035,0.655613,0.0073148,-5.659,-5.659,0.0036574,-5.659,,,,,,,,,,,,,,,,,,,,,,,,
45,40742,GA2_QTY_0.14,D,9,0.122,CO2,3,0,358.4,97.8,,,,,,,,,,,,,,,-0.0,1392,33565,33.565,3.5,1472,35181,0.387,4.0,2016,0.145,48443,1.0481394,0.0118298,-12.941,-12.941,1.4432479,0.0040408,5.296,5.296,0.0110229,-14.071,0.0020159,5.333
45,40742,GA2_QTY_0.14,D,9,0.122,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,1.7,5227,96926,96.926,1.1,5547,102924,1.132,3.5,7500,0.417,139152,1.0618817,0.0119849,0,0,1.4356447,0.0040196,0,0,0.0111802,0,0.0020052,0
46,40743,GA2_QTY_0.56,D,10,0.587,N2,1,1,47.7,27,12.5,3292,60636,60.636,8.0,2170,39981,0.44,0.6593648,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
46,40743,GA2_QTY_0.56,D,10,0.587,N2,2,0,213.8,83.2,13.2,1131,24601,24.601,8.4,742,16132,0.177,0.6557614,0.0073162,-5.465,-5.465,0.0036581,-5.465,,,,,,,,,,,,,,,,,,,,,,,,
46,40743,GA2_QTY_0.56,D,10,0.587,CO2,3,0,353.8,142.3,,,,,,,,,,,,,,,-0.0,6624,160834,160.834,3.5,7043,169890,1.869,3.2,9588,0.698,232819,1.056305,0.0119231,-5.154,-5.154,1.4475679,0.0040534,8.413,8.413,0.0111149,-5.837,0.0020221,8.435
46,40743,GA2_QTY_0.56,D,10,0.587,CO2,4,1,525.4,41.6,,,,,,,,,,,,,,,4.6,5226,96857,96.857,4.3,5547,102840,1.131,7.8,7500,0.417,139037,1.0617772,0.0119849,0,0,1.4354909,0.0040196,0,0,0.0111802,0,0.0020052,0
47,40744,GA2_QTY_0.70,D,11,0.713,N2,1,1,47.7,27,12.8,3290,60710,60.71,8.3,2167,40002,0.44,0.6588916,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
47,40744,GA2_QTY_0.70,D,11,0.713,N2,2,0,213.8,88,13.4,1392,30155,30.155,8.6,913,19762,0.217,0.6553396,0.0073167,-5.391,-5.391,0.0036584,-5.391,,,,,,,,,,,,,,,,,,,,,,,,
47,40744,GA2_QTY_0.70,D,11,0.713,CO2,3,0,352.6,146.1,,,,,,,,,,,,,,,-0.0,8055,196087,196.087,3.9,8573,207167,2.279,5.0,11641,0.85,283254,1.0565041,0.0119257,-4.936,-4.936,1.4445291,0.0040453,6.394,6.394,0.0111184,-5.529,0.0020181,6.413
47,40744,GA2_QTY_0.70,D,11,0.713,CO2,4,1,525.4,42.8,,,,,,,,,,,,,,,5.5,5219,96540,96.54,5.2,5540,102501,1.128,9.1,7490,0.416,138569,1.0617449,0.0119849,0,0,1.435352,0.0040196,0,0,0.0111802,0,0.0020052,0
48,40745,Blank,D,12,0,N2,1,1,47.7,27,13.0,3287,60642,60.642,8.4,2167,39987,0.44,0.6593931,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
48,40745,Blank,D,12,0,CO2,2,0,359.3,58.3,,,,,,,,,,,,,,,0.9,53,1274,1.274,0.3,56,1335,0.015,2.5,77,0.006,1849,1.0478819,0.0118262,-13.237,-13.237,1.4513612,0.0040638,11.013,11.013,0.011017,-14.599,0.0020274,11.058
48,40745,Blank,D,12,0,CO2,3,1,525.4,40.5,,,,,,,,,,,,,,,0.8,5223,96789,96.789,0.2,5544,102784,1.131,2.2,7495,0.417,138946,1.0619389,0.0119849,0,0,1.4355511,0.0040196,0,0,0.0111802,0,0.0020052,0
49,40746,BlankBlank,E,1,0,N2,1,1,47.7,27,12.6,3288,60438,60.438,8.1,2166,39825,0.438,0.6589497,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
49,40746,BlankBlank,E,1,0,CO2,2,1,525.4,40.1,,,,,,,,,,,,,,,0.5,5222,96698,96.698,-0.1,5543,102692,1.13,1.8,7493,0.416,138812,1.0619916,0.0119849,0,0,1.4355217,0.0040196,0,0,0.0111802,0,0.0020052,0
