Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,37133,Dummy,A,11,0.332,N2,1,1,47.4,27.2,10.6,3793,69894,69.894,6.7,2498,46045,0.506,0.6587873,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,37133,Dummy,A,11,0.332,N2,2,0,215.9,81.7,11.2,290,8007,8.007,7.1,193,5334,0.059,0.6662493,0.0074397,11.327,11.327,0.0037199,11.327,,,,,,,,,,,,,,,,,,,,,,,,
1,37133,Dummy,A,11,0.332,CO2,3,0,377.5,103.5,,,,,,,,,,,,,,,-0.3,1721,50446,50.446,-0.6,1824,53455,0.588,0.4,2464,0.217,72324,1.059649,0.0119803,-0.383,-0.383,1.4337113,0.0040077,-2.948,-2.948,0.0111768,-0.301,0.0019993,-2.95
1,37133,Dummy,A,11,0.332,CO2,4,1,525.4,40.3,,,,,,,,,,,,,,,0.4,5255,96886,96.886,0.3,5569,102704,1.13,1.5,7554,0.418,139317,1.0600549,0.0119849,0,0,1.4379498,0.0040196,0,0,0.0111802,0,0.0020052,0
2,37134,Blank,A,12,0,N2,1,1,47.4,27.2,11.3,3788,69823,69.823,7.3,2495,46008,0.506,0.6589199,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,37134,Blank,A,12,0,CO2,2,1,525.4,39.9,,,,,,,,,,,,,,,-0.2,5251,97229,97.229,-0.5,5559,102955,1.133,0.5,7552,0.42,139863,1.0588897,0.0119849,0,0,1.438482,0.0040196,0,0,0.0111802,0,0.0020052,0
3,37135,GA1_QTY_0.14,B,1,0.166,N2,1,1,47.4,27.2,11.3,3786,69769,69.769,7.4,2494,45971,0.506,0.6588933,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,37135,GA1_QTY_0.14,B,1,0.166,N2,2,0,217.2,80.3,11.9,269,7324,7.324,7.6,177,4808,0.053,0.6565398,0.0073301,-3.572,-3.572,0.0036651,-3.572,,,,,,,,,,,,,,,,,,,,,,,,
3,37135,GA1_QTY_0.14,B,1,0.166,CO2,3,0,378.5,100.9,,,,,,,,,,,,,,,-0.2,1563,45146,45.146,-0.4,1630,47055,0.518,0.7,2241,0.194,64784,1.0422821,0.0117991,-15.496,-15.496,1.4349758,0.0040102,-2.34,-2.34,0.0109954,-16.525,0.0020006,-2.306
3,37135,GA1_QTY_0.14,B,1,0.166,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,0.5,5256,97435,97.435,0.3,5562,103153,1.135,1.6,7558,0.42,140145,1.0586873,0.0119849,0,0,1.4383419,0.0040196,0,0,0.0111802,0,0.0020052,0
4,37136,GA1_QTY_0.56,B,2,0.578,N2,1,1,47.4,27.2,11.5,3778,69717,69.717,7.5,2490,45972,0.506,0.6594082,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,37136,GA1_QTY_0.56,B,2,0.578,N2,2,0,216.9,91.5,12.0,950,25506,25.506,7.8,624,16751,0.184,0.6567654,0.0073269,-4.008,-4.008,0.0036635,-4.008,,,,,,,,,,,,,,,,,,,,,,,,
