Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,36781,Dummy,A,5,0.521,N2,1,1,47.9,27.2,11.4,3795,69972,69.972,7.5,2501,46132,0.507,0.659281,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,36781,Dummy,A,5,0.521,N2,2,0,217.4,84.6,12.0,504,13551,13.551,7.8,336,9036,0.099,0.6668466,0.0074408,11.476,11.476,0.0037204,11.476,,,,,,,,,,,,,,,,,,,,,,,,
1,36781,Dummy,A,5,0.521,CO2,3,0,378.1,105.5,,,,,,,,,,,,,,,-0.2,2878,82664,82.664,-0.4,3055,87645,0.964,0.8,4103,0.354,117981,1.0602584,0.0119738,-0.92,-0.92,1.4272316,0.0039918,-6.91,-6.91,0.0111721,-0.729,0.0019913,-6.916
1,36781,Dummy,A,5,0.521,CO2,4,1,525.8,40.8,,,,,,,,,,,,,,,0.8,5293,98217,98.217,0.6,5616,104231,1.147,2.2,7607,0.423,141153,1.0612347,0.0119849,0,0,1.4371624,0.0040196,0,0,0.0111802,0,0.0020052,0
2,36782,Blank,A,6,0,N2,1,1,47.9,27,11.9,3796,69122,69.122,7.9,2502,45575,0.501,0.659347,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,36782,Blank,A,6,0,CO2,2,1,525.6,40.3,,,,,,,,,,,,,,,-0.1,5293,98132,98.132,-0.4,5610,104056,1.145,0.8,7607,0.423,141102,1.060367,0.0119849,0,0,1.4378807,0.0040196,0,0,0.0111802,0,0.0020052,0
3,36783,GA1_QTY_0.14,A,7,0.13,N2,1,1,47.9,27.2,11.8,3806,70082,70.082,7.8,2507,46168,0.508,0.6587719,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,36783,GA1_QTY_0.14,A,7,0.13,N2,2,0,217.2,76.7,12.3,210,5656,5.656,8.1,138,3712,0.041,0.6563283,0.0073291,-3.709,-3.709,0.0036646,-3.709,,,,,,,,,,,,,,,,,,,,,,,,
3,36783,GA1_QTY_0.14,A,7,0.13,CO2,3,0,379.8,97.2,,,,,,,,,,,,,,,-0.1,1226,35074,35.074,-0.3,1280,36604,0.403,0.9,1750,0.15,50123,1.0436202,0.0117978,-15.611,-15.611,1.4290648,0.0039948,-6.15,-6.15,0.0109956,-16.507,0.0019929,-6.12
3,36783,GA1_QTY_0.14,A,7,0.13,CO2,4,1,525.8,40.8,,,,,,,,,,,,,,,0.3,5291,98206,98.206,0.1,5608,104115,1.145,1.5,7607,0.424,141211,1.0601707,0.0119849,0,0,1.4379086,0.0040196,0,0,0.0111802,0,0.0020052,0
4,36784,GA1_QTY_0.56,A,8,0.554,N2,1,1,47.7,27.2,11.9,3816,70411,70.411,8.0,2515,46422,0.511,0.659302,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,36784,GA1_QTY_0.56,A,8,0.554,N2,2,0,217.2,89.2,12.4,927,24560,24.56,8.2,609,16126,0.177,0.6565689,0.0073259,-4.146,-4.146,0.003663,-4.146,,,,,,,,,,,,,,,,,,,,,,,,
4,36784,GA1_QTY_0.56,A,8,0.554,CO2,3,0,375.6,111.6,,,,,,,,,,,,,,,-0.1,5344,152990,152.99,-0.3,5590,159584,1.755,0.9,7617,0.655,218258,1.0431011,0.011794,-15.921,-15.921,1.4266163,0.0039884,-7.76,-7.76,0.0109926,-16.779,0.0019897,-7.73
4,36784,GA1_QTY_0.56,A,8,0.554,CO2,4,1,525.6,41.2,,,,,,,,,,,,,,,1.5,5297,98323,98.323,1.3,5612,104220,1.146,3.3,7614,0.424,141366,1.0599769,0.0119849,0,0,1.4377728,0.0040196,0,0,0.0111802,0,0.0020052,0
5,36785,GA1_QTY_0.70,A,9,0.736,N2,1,1,47.9,27.2,12.1,3803,70168,70.168,8.1,2507,46261,0.509,0.6592889,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,36785,GA1_QTY_0.70,A,9,0.736,N2,2,0,217.2,91.8,12.6,1231,32488,32.488,8.3,809,21330,0.235,0.6565474,0.0073258,-4.158,-4.158,0.0036629,-4.158,,,,,,,,,,,,,,,,,,,,,,,,
5,36785,GA1_QTY_0.70,A,9,0.736,CO2,3,0,373.9,115.6,,,,,,,,,,,,,,,0.0,7102,203893,203.893,-0.2,7434,212646,2.339,1.1,10104,0.871,290400,1.0429306,0.0117922,-16.071,-16.071,1.424278,0.003982,-9.343,-9.343,0.0109915,-16.881,0.0019865,-9.316
5,36785,GA1_QTY_0.70,A,9,0.736,CO2,4,1,525.6,41,,,,,,,,,,,,,,,2.0,5291,98192,98.192,1.9,5605,104080,1.145,4.0,7604,0.424,141171,1.0599655,0.0119849,0,0,1.4377111,0.0040196,0,0,0.0111802,0,0.0020052,0
6,36786,GA2_Std_01,A,10,0.564,N2,1,1,47.7,27.4,12.2,3797,70072,70.072,8.3,2503,46198,0.508,0.6592884,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
6,36786,GA2_Std_01,A,10,0.564,N2,2,0,216.9,90.1,12.6,930,25007,25.007,8.4,611,16402,0.18,0.6558851,0.0073184,-5.162,-5.162,0.0036592,-5.162,,,,,,,,,,,,,,,,,,,,,,,,
6,36786,GA2_Std_01,A,10,0.564,CO2,3,0,375.4,112.7,,,,,,,,,,,,,,,0.1,5398,156301,156.301,-0.2,5724,165280,1.818,1.2,7685,0.668,222705,1.0574453,0.0119574,-2.288,-2.288,1.4248451,0.0039835,-8.962,-8.962,0.0111565,-2.119,0.0019872,-8.967
6,36786,GA2_Std_01,A,10,0.564,CO2,4,1,525.6,40.8,,,,,,,,,,,,,,,1.6,5295,98280,98.28,1.5,5609,104164,1.146,3.5,7609,0.424,141299,1.0598706,0.0119849,0,0,1.4377304,0.0040196,0,0,0.0111802,0,0.0020052,0
7,36787,SAL_Std_01,A,11,0.476,N2,1,1,47.7,26.8,12.2,3796,69099,69.099,8.2,2499,45518,0.501,0.6587421,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
7,36787,SAL_Std_01,A,11,0.476,N2,2,0,216.7,90.9,12.7,1034,27813,27.813,8.4,690,18538,0.204,0.666533,0.0074434,11.827,11.827,0.0037217,11.827,,,,,,,,,,,,,,,,,,,,,,,,
7,36787,SAL_Std_01,A,11,0.476,CO2,3,0,375.4,112.9,,,,,,,,,,,,,,,0.1,5261,152228,152.228,-0.1,5538,159818,1.758,1.2,7487,0.65,216817,1.0498566,0.011873,-9.334,-9.334,1.4242847,0.0039818,-9.391,-9.391,0.0110722,-9.657,0.0019864,-9.38
7,36787,SAL_Std_01,A,11,0.476,CO2,4,1,525.6,40.8,,,,,,,,,,,,,,,1.6,5291,98241,98.241,1.5,5604,104111,1.145,3.4,7603,0.424,141250,1.0597488,0.0119849,0,0,1.4377875,0.0040196,0,0,0.0111802,0,0.0020052,0
8,36788,GA1_Std_01,A,12,0.6,N2,1,1,47.7,27.2,12.2,3794,69807,69.807,8.2,2501,46021,0.506,0.6592666,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
8,36788,GA1_Std_01,A,12,0.6,N2,2,0,216.7,91.1,12.6,993,26561,26.561,8.4,653,17440,0.192,0.6565817,0.0073264,-4.072,-4.072,0.0036632,-4.072,,,,,,,,,,,,,,,,,,,,,,,,
8,36788,GA1_Std_01,A,12,0.6,CO2,3,0,374.9,113.7,,,,,,,,,,,,,,,0.1,5760,166356,166.356,-0.1,6024,173477,1.908,1.3,8192,0.711,236839,1.0428061,0.0117928,-16.026,-16.026,1.4236938,0.0039803,-9.777,-9.777,0.0109922,-16.816,0.0019856,-9.75
8,36788,GA1_Std_01,A,12,0.6,CO2,4,1,525.6,40.8,,,,,,,,,,,,,,,1.7,5295,98098,98.098,1.6,5609,103963,1.144,3.6,7610,0.423,141041,1.0597899,0.0119849,0,0,1.4377512,0.0040196,0,0,0.0111802,0,0.0020052,0
9,36789,SI_71b,B,1,0.438,N2,1,1,47.7,27,12.3,3809,70184,70.184,8.3,2511,46271,0.509,0.6592842,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
9,36789,SI_71b,B,1,0.438,N2,2,0,216.7,79.4,12.6,247,6720,6.72,8.4,165,4479,0.049,0.6665108,0.007437,10.961,10.961,0.0037185,10.961,,,,,,,,,,,,,,,,,,,,,,,,
9,36789,SI_71b,B,1,0.438,CO2,3,0,379.1,101.2,,,,,,,,,,,,,,,0.1,1743,50363,50.363,-0.1,1838,53057,0.584,1.2,2486,0.216,71882,1.0534903,0.0119128,-6.016,-6.016,1.4272771,0.00399,-7.364,-7.364,0.0111112,-6.175,0.0019904,-7.358
9,36789,SI_71b,B,1,0.438,CO2,4,1,525.6,41.2,,,,,,,,,,,,,,,0.6,5294,98221,98.221,0.5,5608,104101,1.145,2.0,7609,0.424,141229,1.0598665,0.0119849,0,0,1.437865,0.0040196,0,0,0.0111802,0,0.0020052,0
10,36790,SI_72a,B,2,0.451,N2,1,1,47.7,27.2,12.1,3801,70195,70.195,8.1,2506,46278,0.509,0.6592813,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
10,36790,SI_72a,B,2,0.451,N2,2,0,216.7,90.1,12.6,971,25962,25.962,8.4,650,17353,0.191,0.6684042,0.0074582,13.838,13.838,0.0037291,13.838,,,,,,,,,,,,,,,,,,,,,,,,
10,36790,SI_72a,B,2,0.451,CO2,3,0,376.6,109.5,,,,,,,,,,,,,,,0.0,4162,119452,119.452,-0.2,4414,126415,1.391,1.1,5931,0.511,170380,1.0582879,0.0119673,-1.467,-1.467,1.4263388,0.0039875,-7.985,-7.985,0.0111659,-1.275,0.0019892,-7.991
10,36790,SI_72a,B,2,0.451,CO2,4,1,525.6,41,,,,,,,,,,,,,,,1.3,5296,98262,98.262,1.1,5610,104143,1.146,2.9,7611,0.424,141284,1.0598422,0.0119849,0,0,1.4378199,0.0040196,0,0,0.0111802,0,0.0020052,0
11,36791,SI_73a,B,3,0.439,N2,1,1,47.7,27.2,12.2,3803,70125,70.125,8.2,2507,46231,0.509,0.6592713,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
11,36791,SI_73a,B,3,0.439,N2,2,0,217.2,90.5,12.6,1005,26849,26.849,8.4,671,17905,0.197,0.6668945,0.0074415,11.563,11.563,0.0037207,11.563,,,,,,,,,,,,,,,,,,,,,,,,
11,36791,SI_73a,B,3,0.439,CO2,3,0,376.6,110.8,,,,,,,,,,,,,,,0.0,4521,129873,129.873,-0.2,4770,136740,1.504,1.1,6440,0.556,185186,1.0528733,0.011906,-6.582,-6.582,1.4258974,0.0039863,-8.262,-8.262,0.0111048,-6.748,0.0019886,-8.256
11,36791,SI_73a,B,3,0.439,CO2,4,1,525.6,40.5,,,,,,,,,,,,,,,1.4,5294,98391,98.391,1.2,5608,104279,1.147,3.1,7609,0.424,141464,1.0598487,0.0119849,0,0,1.4377768,0.0040196,0,0,0.0111802,0,0.0020052,0
12,36792,SI_73b,B,4,1.513,N2,1,1,47.9,27.2,12.2,3796,69928,69.928,8.2,2502,46102,0.507,0.6592793,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
12,36792,SI_73b,B,4,1.513,N2,2,0,217.4,95.9,12.7,2162,55712,55.712,8.4,1438,37030,0.407,0.6646566,0.0074164,8.156,8.156,0.0037082,8.156,,,,,,,,,,,,,,,,,,,,,,,,
12,36792,SI_73b,B,4,1.513,CO2,3,0,367.8,125.4,,,,,,,,,,,,,,,0.1,13905,403872,403.872,-0.2,14735,424331,4.668,1.2,19719,1.721,573587,1.0506581,0.0118824,-8.548,-8.548,1.4202201,0.0039707,-12.143,-12.143,0.0110828,-8.711,0.0019809,-12.137
12,36792,SI_73b,B,4,1.513,CO2,4,1,525.8,41.8,,,,,,,,,,,,,,,3.8,5292,98262,98.262,3.7,5607,104130,1.145,6.6,7607,0.424,141269,1.0597168,0.0119849,0,0,1.4376783,0.0040196,0,0,0.0111802,0,0.0020052,0
13,36793,Blank,B,5,0,N2,1,1,47.7,27.2,12.5,3792,69845,69.845,8.5,2499,46047,0.507,0.6592732,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
13,36793,Blank,B,5,0,CO2,2,1,525.4,39.7,,,,,,,,,,,,,,,0.1,5293,98131,98.131,-0.1,5608,104011,1.144,1.2,7609,0.423,141105,1.0599176,0.0119849,0,0,1.4379209,0.0040196,0,0,0.0111802,0,0.0020052,0
14,36794,SI_74a,B,6,0.502,N2,1,1,47.9,27.2,12.1,3801,70195,70.195,8.1,2506,46277,0.509,0.6592616,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
14,36794,SI_74a,B,6,0.502,N2,2,0,217.2,89.9,12.5,1098,29225,29.225,8.3,733,19496,0.214,0.667119,0.0074441,11.918,11.918,0.003722,11.918,,,,,,,,,,,,,,,,,,,,,,,,
14,36794,SI_74a,B,6,0.502,CO2,3,0,376.4,111.4,,,,,,,,,,,,,,,0.0,4817,138070,138.07,-0.2,5084,145363,1.599,1.2,6866,0.591,196950,1.0528247,0.0119068,-6.512,-6.512,1.4264575,0.0039879,-7.875,-7.875,0.0111054,-6.688,0.0019894,-7.869
14,36794,SI_74a,B,6,0.502,CO2,4,1,525.6,41.2,,,,,,,,,,,,,,,1.4,5292,98348,98.348,1.3,5605,104222,1.146,3.2,7606,0.424,141403,1.0597253,0.0119849,0,0,1.4377801,0.0040196,0,0,0.0111802,0,0.0020052,0
15,36795,SI_74b,B,7,1.492,N2,1,1,47.7,27.2,12.2,3791,69849,69.849,8.2,2499,46047,0.507,0.6592424,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
15,36795,SI_74b,B,7,1.492,N2,2,0,217.4,96.3,12.6,2192,56797,56.797,8.4,1458,37747,0.415,0.6645891,0.0074161,8.11,8.11,0.003708,8.11,,,,,,,,,,,,,,,,,,,,,,,,
15,36795,SI_74b,B,7,1.492,CO2,3,0,368,124.4,,,,,,,,,,,,,,,0.1,13582,395436,395.436,-0.2,14382,415326,4.569,1.2,19264,1.685,561598,1.0502984,0.01188,-8.751,-8.751,1.4202007,0.0039708,-12.122,-12.122,0.0110804,-8.93,0.0019809,-12.115
15,36795,SI_74b,B,7,1.492,CO2,4,1,525.6,42,,,,,,,,,,,,,,,3.7,5290,98146,98.146,3.7,5602,103993,1.144,6.6,7601,0.423,141097,1.059571,0.0119849,0,0,1.437628,0.0040196,0,0,0.0111802,0,0.0020052,0
16,36796,SI_75a,B,8,0.467,N2,1,1,47.7,27.2,12.5,3793,70038,70.038,8.5,2500,46173,0.508,0.6592527,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
16,36796,SI_75a,B,8,0.467,N2,2,0,216.9,90.5,12.8,1027,27451,27.451,8.6,686,18325,0.202,0.6675599,0.0074491,12.601,12.601,0.0037245,12.601,,,,,,,,,,,,,,,,,,,,,,,,
16,36796,SI_75a,B,8,0.467,CO2,3,0,376.4,110.6,,,,,,,,,,,,,,,0.3,4518,129848,129.848,0.0,4768,136705,1.504,1.5,6438,0.555,185158,1.0528111,0.011908,-6.414,-6.414,1.425963,0.0039866,-8.188,-8.188,0.0111067,-6.571,0.0019888,-8.182
16,36796,SI_75a,B,8,0.467,CO2,4,1,525.6,41,,,,,,,,,,,,,,,1.5,5292,98280,98.28,1.4,5605,104138,1.146,3.3,7604,0.424,141301,1.0596072,0.0119849,0,0,1.4377354,0.0040196,0,0,0.0111802,0,0.0020052,0
17,36797,SI_75b,B,9,1.532,N2,1,1,47.7,27.2,12.3,3788,69825,69.825,8.3,2497,46031,0.506,0.6592311,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
17,36797,SI_75b,B,9,1.532,N2,2,0,217.6,96.1,12.7,2358,60835,60.835,8.5,1568,40432,0.445,0.6646198,0.0074165,8.174,8.174,0.0037083,8.174,,,,,,,,,,,,,,,,,,,,,,,,
17,36797,SI_75b,B,9,1.532,CO2,3,0,367.6,125.6,,,,,,,,,,,,,,,0.1,14411,420294,420.294,-0.1,15274,441505,4.857,1.3,20429,1.79,596698,1.0504664,0.0118822,-8.567,-8.567,1.4197155,0.0039696,-12.433,-12.433,0.0110827,-8.721,0.0019803,-12.427
17,36797,SI_75b,B,9,1.532,CO2,4,1,525.6,41.4,,,,,,,,,,,,,,,4.0,5289,97993,97.993,4.0,5602,103828,1.142,6.9,7601,0.423,140873,1.059544,0.0119849,0,0,1.437589,0.0040196,0,0,0.0111802,0,0.0020052,0
18,36798,GA1_Std_02,B,10,0.557,N2,1,1,47.7,27.2,12.6,3794,69906,69.906,8.6,2501,46085,0.507,0.6592479,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
18,36798,GA1_Std_02,B,10,0.557,N2,2,0,216.9,90.1,12.9,915,24554,24.554,8.7,601,16121,0.177,0.6565475,0.0073263,-4.096,-4.096,0.0036631,-4.096,,,,,,,,,,,,,,,,,,,,,,,,
18,36798,GA1_Std_02,B,10,0.557,CO2,3,0,375.8,113.5,,,,,,,,,,,,,,,0.3,5296,153202,153.202,0.1,5537,159736,1.757,1.6,7539,0.655,218278,1.0426458,0.0117937,-15.949,-15.949,1.4247671,0.0039833,-9.011,-9.011,0.0109928,-16.762,0.0019872,-8.983
18,36798,GA1_Std_02,B,10,0.557,CO2,4,1,525.6,40.3,,,,,,,,,,,,,,,1.8,5294,98126,98.126,1.6,5606,103968,1.144,3.7,7607,0.423,141077,1.0595443,0.0119849,0,0,1.4377221,0.0040196,0,0,0.0111802,0,0.0020052,0
19,36799,GA2_Std_02,B,11,0.544,N2,1,1,47.9,27.2,12.3,3794,70049,70.049,8.4,2501,46178,0.508,0.6592264,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
19,36799,GA2_Std_02,B,11,0.544,N2,2,0,217.4,88.8,12.8,910,24159,24.159,8.6,597,15845,0.174,0.6558384,0.0073186,-5.139,-5.139,0.0036593,-5.139,,,,,,,,,,,,,,,,,,,,,,,,
19,36799,GA2_Std_02,B,11,0.544,CO2,3,0,376.2,112.2,,,,,,,,,,,,,,,0.2,5252,150586,150.586,-0.0,5567,159184,1.751,1.4,7474,0.644,214543,1.0570954,0.0119568,-2.337,-2.337,1.4247214,0.0039832,-9.042,-9.042,0.011156,-2.169,0.0019871,-9.047
19,36799,GA2_Std_02,B,11,0.544,CO2,4,1,525.6,41.4,,,,,,,,,,,,,,,1.7,5293,97709,97.709,1.5,5606,103530,1.139,3.5,7607,0.421,140478,1.0595717,0.0119849,0,0,1.4377217,0.0040196,0,0,0.0111802,0,0.0020052,0
20,36800,SAL_Std_02,B,12,0.473,N2,1,1,47.7,27.2,12.3,3788,69927,69.927,8.3,2497,46099,0.507,0.6592382,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
20,36800,SAL_Std_02,B,12,0.473,N2,2,0,216.9,91.3,12.7,1045,27916,27.916,8.5,697,18621,0.205,0.6670359,0.0074434,11.828,11.828,0.0037217,11.828,,,,,,,,,,,,,,,,,,,,,,,,
20,36800,SAL_Std_02,B,12,0.473,CO2,3,0,375.8,113.1,,,,,,,,,,,,,,,0.1,5338,153858,153.858,-0.1,5618,161488,1.776,1.3,7597,0.658,219190,1.0495955,0.0118717,-9.438,-9.438,1.4246315,0.0039829,-9.132,-9.132,0.0110709,-9.778,0.0019869,-9.12
20,36800,SAL_Std_02,B,12,0.473,CO2,4,1,525.6,41,,,,,,,,,,,,,,,1.7,5291,98266,98.266,1.5,5604,104122,1.145,3.5,7603,0.424,141283,1.0595958,0.0119849,0,0,1.4377616,0.0040196,0,0,0.0111802,0,0.0020052,0
21,36801,SI_76a,C,1,0.427,N2,1,1,47.9,27.2,12.3,3796,69983,69.983,8.3,2502,46137,0.508,0.6592544,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
21,36801,SI_76a,C,1,0.427,N2,2,0,217.2,89.7,12.7,944,25131,25.131,8.5,630,16747,0.184,0.666394,0.0074361,10.83,10.83,0.003718,10.83,,,,,,,,,,,,,,,,,,,,,,,,
21,36801,SI_76a,C,1,0.427,CO2,3,0,377,110.1,,,,,,,,,,,,,,,0.1,4209,120478,120.478,-0.1,4439,126798,1.395,1.3,5995,0.515,171766,1.0524594,0.0119046,-6.696,-6.696,1.4257044,0.0039857,-8.426,-8.426,0.0111034,-6.865,0.0019883,-8.42
21,36801,SI_76a,C,1,0.427,CO2,4,1,525.6,40.5,,,,,,,,,,,,,,,1.4,5286,98182,98.182,1.2,5599,104029,1.144,3.0,7598,0.424,141168,1.0595544,0.0119849,0,0,1.43782,0.0040196,0,0,0.0111802,0,0.0020052,0
22,36802,SI_76b,C,2,1.515,N2,1,1,47.9,27,12.2,3791,69641,69.641,8.2,2498,45910,0.505,0.6592328,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
22,36802,SI_76b,C,2,1.515,N2,2,0,217.6,94.7,12.7,2051,52530,52.53,8.5,1364,34911,0.384,0.6645997,0.0074163,8.141,8.141,0.0037081,8.141,,,,,,,,,,,,,,,,,,,,,,,,
22,36802,SI_76b,C,2,1.515,CO2,3,0,366.2,128.3,,,,,,,,,,,,,,,0.1,16029,469018,469.018,-0.1,17002,492435,5.417,1.3,22716,1.997,665592,1.0499286,0.0118765,-9.038,-9.038,1.4191183,0.0039678,-12.865,-12.865,0.0110772,-9.21,0.0019794,-12.858
